epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
42,0.12381213,0.12762868,0.09044757,0.08662479,0.12776163,0.08765912,1.19445753e-01,6.03725325e-01,2.75016808e-01,1.04215553e-01
43,0.12295397,0.12643668,0.09012771,0.08628303,0.12712266,0.08752486,1.19982593e-01,6.20449727e-01,2.84742942e-01,1.04235471e-01
44,0.12201636,0.12614886,0.08981977,0.08619496,0.12638563,0.08738588,1.20379802e-01,6.35938973e-01,2.92772393e-01,1.04212648e-01
45,0.12112896,0.12548349,0.08951937,0.08607523,0.12570490,0.08725028,1.21143269e-01,6.48807399e-01,3.01528452e-01,1.04060684e-01
46,0.12013705,0.12491547,0.08918641,0.08576760,0.12488747,0.08710393,1.21951447e-01,6.57571035e-01,3.09192913e-01,1.03970692e-01
47,0.11939295,0.12487159,0.08892470,0.08571842,0.12435702,0.08696299,1.22146636e-01,6.76603507e-01,3.17094221e-01,1.03785306e-01
48,0.11828576,0.12402093,0.08856634,0.08548836,0.12340215,0.08681369,1.23005708e-01,6.86381343e-01,3.22602661e-01,1.03562306e-01
49,0.11763858,0.12342591,0.08831358,0.08521312,0.12294563,0.08665663,1.23295007e-01,6.96063777e-01,3.30466953e-01,1.03758405e-01
50,0.11682486,0.12235076,0.08803707,0.08509552,0.12227919,0.08649764,1.23701745e-01,7.02155443e-01,3.36521121e-01,1.03641894e-01
51,0.11583667,0.12228999,0.08770246,0.08492496,0.12146543,0.08632929,1.24328365e-01,7.15491327e-01,3.43223118e-01,1.03279684e-01
52,0.11516580,0.12137908,0.08746280,0.08452324,0.12094927,0.08614035,1.24780485e-01,7.25344873e-01,3.48150069e-01,1.03014489e-01
53,0.11424187,0.12075124,0.08710600,0.08439204,0.12013530,0.08595596,1.25413247e-01,7.30782552e-01,3.53164588e-01,1.03096430e-01
54,0.11356042,0.12018749,0.08689493,0.08410671,0.11958367,0.08576488,1.25856421e-01,7.38730873e-01,3.58074199e-01,1.02840951e-01
55,0.11260422,0.12056349,0.08656033,0.08412384,0.11875212,0.08559461,1.26299583e-01,7.47238439e-01,3.62348759e-01,1.02687158e-01
56,0.11207821,0.11940456,0.08636505,0.08371867,0.11828863,0.08540651,1.26895875e-01,7.50917387e-01,3.64743959e-01,1.02754289e-01
57,0.11102832,0.11927563,0.08599896,0.08371758,0.11735314,0.08523257,1.27218641e-01,7.57089712e-01,3.68971643e-01,1.02502278e-01
58,0.11038156,0.11792682,0.08573043,0.08318339,0.11676591,0.08502401,1.27895435e-01,7.62506246e-01,3.70461389e-01,1.02094935e-01
59,0.10955494,0.11841388,0.08548398,0.08312953,0.11603488,0.08482855,1.28372623e-01,7.65394770e-01,3.74738450e-01,1.02021902e-01
60,0.10897681,0.11804590,0.08525711,0.08301449,0.11546837,0.08463947,1.28746400e-01,7.72520152e-01,3.75658220e-01,1.01818826e-01
61,0.10826937,0.11746978,0.08497706,0.08277941,0.11480105,0.08444985,1.29265409e-01,7.71887562e-01,3.77403619e-01,1.01678783e-01
62,0.10763335,0.11692396,0.08477257,0.08250807,0.11420731,0.08425016,1.29359393e-01,7.73547462e-01,3.78995481e-01,1.01332866e-01
63,0.10704227,0.11686279,0.08454787,0.08242918,0.11362374,0.08406659,1.29984557e-01,7.76878140e-01,3.79462840e-01,1.01238929e-01
64,0.10656691,0.11624572,0.08433932,0.08221383,0.11312886,0.08387081,1.30205352e-01,7.74488012e-01,3.79246213e-01,1.01068678e-01
