epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
46,0.12779502,0.13379760,0.09176944,0.08864712,0.12983289,1.21822637e-01,2.05689492e-01,8.72847154e-02,1.04599771e-01
47,0.12723513,0.13315337,0.09156378,0.08842074,0.12933757,1.22415830e-01,2.15286206e-01,9.11834757e-02,1.04481194e-01
48,0.12678681,0.13329889,0.09139317,0.08846369,0.12895361,1.23051565e-01,2.22647998e-01,9.47754240e-02,1.04588514e-01
49,0.12650259,0.13308385,0.09128006,0.08834619,0.12873569,1.23767535e-01,2.33207889e-01,9.83425839e-02,1.04515673e-01
50,0.12581231,0.13305182,0.09103724,0.08825274,0.12812300,1.24499094e-01,2.42437343e-01,1.02241579e-01,1.04624266e-01
51,0.12545715,0.13250647,0.09089872,0.08821209,0.12784384,1.25135172e-01,2.52023651e-01,1.05896658e-01,1.04803367e-01
52,0.12510607,0.13295281,0.09078204,0.08822034,0.12757020,1.25243937e-01,2.61475918e-01,1.09840953e-01,1.04637974e-01
53,0.12449715,0.13229047,0.09057114,0.08801953,0.12703578,1.25977218e-01,2.69431600e-01,1.13440782e-01,1.04613072e-01
54,0.12406824,0.13213317,0.09036147,0.08818186,0.12669246,1.26563567e-01,2.79592398e-01,1.17366195e-01,1.04445488e-01
55,0.12354019,0.13211504,0.09019406,0.08804906,0.12626112,1.27163392e-01,2.89740952e-01,1.21296821e-01,1.04511719e-01
56,0.12309277,0.13211023,0.09000247,0.08794553,0.12589988,1.27619980e-01,2.97000621e-01,1.25051964e-01,1.04523202e-01
57,0.12269412,0.13219610,0.08986873,0.08818475,0.12559863,1.27903514e-01,3.08098535e-01,1.29062431e-01,1.04296990e-01
58,0.12208883,0.13194555,0.08964323,0.08793051,0.12509228,1.28582935e-01,3.14651953e-01,1.33272934e-01,1.04319757e-01
59,0.12146598,0.13177297,0.08943984,0.08792788,0.12457812,1.29218868e-01,3.25381548e-01,1.37068407e-01,1.04373433e-01
60,0.12113516,0.13147461,0.08930194,0.08799572,0.12433966,1.29373151e-01,3.32545937e-01,1.40827676e-01,1.04561439e-01
61,0.12052895,0.13157458,0.08903824,0.08781171,0.12384318,1.29892010e-01,3.42228878e-01,1.44622869e-01,1.04723900e-01
62,0.11989347,0.13161702,0.08884099,0.08779785,0.12331342,1.30425248e-01,3.50483669e-01,1.48337198e-01,1.04313762e-01
63,0.11958354,0.13091486,0.08872302,0.08761083,0.12310758,1.30956740e-01,3.57201630e-01,1.52523496e-01,1.04451530e-01
64,0.11892286,0.13091451,0.08846710,0.08759036,0.12257042,1.31486739e-01,3.66401320e-01,1.56852573e-01,1.04329604e-01
65,0.11832029,0.13084176,0.08824515,0.08753267,0.12206124,1.32313025e-01,3.73895389e-01,1.59886686e-01,1.04290836e-01
66,0.11800034,0.13043948,0.08812145,0.08751435,0.12185289,1.32276744e-01,3.82128717e-01,1.63912052e-01,1.04238668e-01
67,0.11717817,0.13042857,0.08784176,0.08736653,0.12115755,1.33029421e-01,3.90022466e-01,1.67747459e-01,1.03941137e-01
68,0.11679640,0.12999186,0.08768495,0.08727430,0.12088148,1.33392308e-01,3.96594392e-01,1.71503345e-01,1.03996624e-01
