epoch,train_loss,val_loss,train_rmse,val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
51,0.10638887,0.10104881,0.32138179,0.07572566,1.20068358e-01,9.81706387e-02,7.92874321e-02,2.75410293e-02
52,0.10604524,0.10108904,0.32081391,0.07564340,1.20395756e-01,9.87570101e-02,7.94977581e-02,2.78464191e-02
53,0.10582853,0.10147807,0.32047761,0.07565054,1.20223227e-01,9.90250715e-02,7.93397090e-02,2.78526928e-02
54,0.10568182,0.10112176,0.32023536,0.07573990,1.20508102e-01,9.82797768e-02,7.96316537e-02,2.80411707e-02
55,0.10572846,0.10066348,0.32030516,0.07544182,1.20455616e-01,9.88897205e-02,7.95303066e-02,2.80703052e-02
56,0.10552329,0.10086929,0.31997001,0.07553430,1.20747919e-01,9.91465629e-02,7.96560325e-02,2.79450440e-02
57,0.10549619,0.10080926,0.31992820,0.07553712,1.20675442e-01,9.95337352e-02,7.95995590e-02,2.79367095e-02
58,0.10550207,0.10089450,0.31994113,0.07556663,1.20691994e-01,9.91473106e-02,7.94740135e-02,2.79918874e-02
59,0.10546208,0.10081974,0.31987680,0.07553096,1.20828793e-01,9.89572509e-02,7.94596001e-02,2.78743996e-02
60,0.10544132,0.10085325,0.31985705,0.07556584,1.20618068e-01,9.86292185e-02,7.96079928e-02,2.79704575e-02
61,0.10555724,0.10079543,0.31999733,0.07552957,1.20554566e-01,1.00558378e-01,7.95960675e-02,2.80050589e-02
62,0.10531107,0.10047715,0.31959188,0.07542500,1.21014544e-01,1.00626145e-01,7.95596311e-02,2.81117882e-02
63,0.10512312,0.10133161,0.31928515,0.07566227,1.21207155e-01,1.00618204e-01,7.98381939e-02,2.79194378e-02
64,0.10497661,0.10111285,0.31905083,0.07566600,1.21000035e-01,1.01090899e-01,7.98516503e-02,2.79902604e-02
65,0.10482813,0.10067314,0.31879841,0.07558626,1.21292535e-01,1.01419089e-01,7.97134689e-02,2.80449364e-02
66,0.10460827,0.10129941,0.31842342,0.07576013,1.21648981e-01,1.01998241e-01,7.99978247e-02,2.78401919e-02
67,0.10447174,0.10076694,0.31820420,0.07568613,1.21729039e-01,1.01919441e-01,7.99378067e-02,2.80760209e-02
68,0.10431487,0.10046145,0.31794343,0.07538583,1.21789873e-01,1.01593458e-01,8.01412511e-02,2.81714240e-02
69,0.10415572,0.10062646,0.31768844,0.07553445,1.21792084e-01,1.02336841e-01,8.01311075e-02,2.79642168e-02
70,0.10414451,0.10078201,0.31766933,0.07562429,1.22144907e-01,1.01282085e-01,8.03150774e-02,2.80767884e-02
71,0.10409775,0.10075849,0.31760244,0.07563817,1.21784926e-01,1.01596249e-01,8.02960237e-02,2.80696497e-02
72,0.10404398,0.10048275,0.31750944,0.07550250,1.21878902e-01,1.02069810e-01,8.02091122e-02,2.79273224e-02
73,0.10404088,0.10052643,0.31751830,0.07552251,1.21919363e-01,1.01306892e-01,8.02154187e-02,2.80497257e-02
74,0.10393761,0.10046564,0.31734115,0.07550805,1.22092194e-01,1.01657980e-01,8.02115103e-02,2.80370771e-02
75,0.10393160,0.10044832,0.31733560,0.07550659,1.21964350e-01,1.01544192e-01,8.03621522e-02,2.79959788e-02
76,0.10417788,0.10029557,0.31769942,0.07541284,1.21782804e-01,1.03301072e-01,8.01526594e-02,2.80098925e-02
77,0.10403947,0.10064844,0.31747565,0.07555438,1.22213195e-01,1.02727624e-01,8.04391039e-02,2.80935550e-02
78,0.10387026,0.10087910,0.31718456,0.07575618,1.22180558e-01,1.03235603e-01,8.04510025e-02,2.79298912e-02
79,0.10366176,0.10028225,0.31683736,0.07558082,1.22633013e-01,1.03480805e-01,8.04651267e-02,2.79915087e-02
