epoch,train_loss,val_loss,train_rmse,val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.14403171,0.13059133,0.37849440,0.08415188,7.40456766e-02,5.24876821e-04,1.70179371e-04,3.56783666e-02
2,0.13933197,0.13025580,0.37187850,0.08404796,9.07700509e-02,5.25031420e-04,1.70177147e-04,3.93790015e-02
3,0.13739573,0.12968998,0.36913978,0.08381387,9.54446394e-02,5.25073902e-04,1.69976996e-04,3.98132134e-02
4,0.13592082,0.13010108,0.36705073,0.08409674,9.87410574e-02,5.25507707e-04,1.70253352e-04,3.98312486e-02
5,0.13451379,0.13061762,0.36503914,0.08428511,1.02558910e-01,5.24778695e-04,1.70424622e-04,3.97241935e-02
6,0.13320304,0.13043878,0.36315236,0.08403066,1.05284579e-01,5.25366971e-04,1.70514542e-04,3.94403001e-02
7,0.12344259,0.11351307,0.34855854,0.07921846,1.08504894e-01,7.53978549e-02,4.60633000e-02,2.84283525e-02
8,0.11805282,0.10969354,0.34017534,0.07817653,1.12296336e-01,8.39489147e-02,6.43972667e-02,2.26345583e-02
9,0.11526635,0.10652835,0.33576252,0.07738366,1.14783227e-01,8.62610460e-02,6.96790049e-02,2.13816892e-02
10,0.11361122,0.10630561,0.33313637,0.07715394,1.15844888e-01,8.80912299e-02,7.19314888e-02,2.08774036e-02
11,0.11238723,0.10582678,0.33115983,0.07727689,1.17166024e-01,8.93356559e-02,7.33428161e-02,2.15055122e-02
12,0.11131764,0.10491529,0.32944148,0.07709738,1.18057793e-01,9.00672613e-02,7.47299514e-02,2.26259856e-02
13,0.11023678,0.10433324,0.32767894,0.07685883,1.19476172e-01,9.08089586e-02,7.58947311e-02,2.40424921e-02
14,0.10945557,0.10403166,0.32640421,0.07680720,1.20006604e-01,9.16709174e-02,7.68592975e-02,2.52290325e-02
15,0.10867256,0.10392919,0.32513604,0.07685022,1.20829061e-01,9.16273506e-02,7.76895572e-02,2.59710027e-02
16,0.10795473,0.10379319,0.32396298,0.07673605,1.21568907e-01,9.23726329e-02,7.82698680e-02,2.62497342e-02
17,0.10747185,0.10355871,0.32315715,0.07666693,1.22229518e-01,9.28139354e-02,7.87522801e-02,2.66229846e-02
18,0.10687841,0.10313461,0.32218273,0.07646991,1.22880048e-01,9.32167898e-02,7.90873255e-02,2.66545372e-02
19,0.10647567,0.10368818,0.32152329,0.07675266,1.23359717e-01,9.35457529e-02,7.93873948e-02,2.68383152e-02
20,0.10597439,0.10331735,0.32068479,0.07661164,1.24019331e-01,9.39848551e-02,7.99002761e-02,2.71142589e-02
21,0.10549011,0.10284178,0.31988162,0.07633852,1.24728964e-01,9.47122211e-02,8.00216236e-02,2.71742487e-02
22,0.10521477,0.10211310,0.31940715,0.07640640,1.24867826e-01,9.60871929e-02,8.04037097e-02,2.71240309e-02
23,0.10477120,0.10193726,0.31867796,0.07603310,1.25290688e-01,9.62860856e-02,8.05342933e-02,2.74183891e-02
24,0.10436733,0.10254918,0.31799742,0.07630564,1.25713130e-01,9.70998228e-02,8.07231788e-02,2.75594169e-02
