epoch,train_loss,val_loss,train_rmse,val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.14403171,0.13059133,0.37849440,0.08415188,7.40456766e-02,5.24876821e-04,1.70179371e-04,3.56783666e-02
2,0.13933803,0.13025218,0.37188706,0.08404749,9.07553454e-02,5.25031420e-04,1.70177147e-04,3.93770602e-02
3,0.13742331,0.12969050,0.36917893,0.08381471,9.53786720e-02,5.25073902e-04,1.69976996e-04,3.98088419e-02
4,0.13600181,0.13007629,0.36716638,0.08407352,9.85200708e-02,5.25507707e-04,1.70253352e-04,3.98276334e-02
5,0.13468088,0.13049519,0.36527905,0.08424809,1.02126100e-01,5.24778695e-04,1.70424622e-04,3.97580625e-02
6,0.13348551,0.13027813,0.36356009,0.08400483,1.04712804e-01,5.25366971e-04,1.70514542e-04,3.95142692e-02
7,0.12443724,0.11431285,0.35008210,0.07948817,1.07474195e-01,7.31943982e-02,4.33547118e-02,2.95104857e-02
8,0.11944824,0.11086575,0.34235839,0.07847542,1.10992301e-01,8.27566135e-02,6.15465456e-02,2.32284823e-02
9,0.11686812,0.10786049,0.33829615,0.07768056,1.13322474e-01,8.47274650e-02,6.73641282e-02,2.19555040e-02
10,0.11536365,0.10719524,0.33592976,0.07737660,1.14118573e-01,8.63140530e-02,6.99260416e-02,2.12779523e-02
11,0.11440407,0.10678791,0.33439240,0.07744526,1.15106018e-01,8.74288695e-02,7.11097337e-02,2.10743002e-02
12,0.11369457,0.10607106,0.33326424,0.07729087,1.15589802e-01,8.81890615e-02,7.21115897e-02,2.09074029e-02
13,0.11301962,0.10566228,0.33218018,0.07715721,1.16481286e-01,8.85872919e-02,7.28211132e-02,2.11112667e-02
14,0.11261937,0.10557787,0.33153226,0.07718262,1.16797687e-01,8.93371435e-02,7.33503860e-02,2.14576919e-02
15,0.11228683,0.10535566,0.33100909,0.07713488,1.17062428e-01,8.90746448e-02,7.37594913e-02,2.17864123e-02
16,0.11197823,0.10522508,0.33051616,0.07711629,1.17339532e-01,8.91253041e-02,7.40855543e-02,2.19263131e-02
17,0.11183333,0.10507456,0.33027258,0.07710682,1.17483736e-01,8.92962116e-02,7.43687273e-02,2.21659010e-02
18,0.11162296,0.10502192,0.32994554,0.07708998,1.17572953e-01,8.95713666e-02,7.43524365e-02,2.23009335e-02
19,0.11163237,0.10507923,0.32995005,0.07712502,1.17553926e-01,8.99304272e-02,7.45206537e-02,2.24036524e-02
20,0.11149855,0.10502622,0.32973758,0.07710077,1.17822745e-01,8.95921689e-02,7.46009565e-02,2.25054955e-02
21,0.11111174,0.10440556,0.32908416,0.07683071,1.18634385e-01,9.03452842e-02,7.51601998e-02,2.32372514e-02
22,0.11021061,0.10355064,0.32762260,0.07696233,1.19094437e-01,9.13963329e-02,7.63813856e-02,2.44882235e-02
23,0.10934988,0.10324961,0.32623345,0.07658844,1.19975796e-01,9.15409881e-02,7.70582362e-02,2.54984842e-02
24,0.10861398,0.10366159,0.32503074,0.07684980,1.20650201e-01,9.21742959e-02,7.76997145e-02,2.61742555e-02
25,0.10808245,0.10296615,0.32415780,0.07648358,1.21369971e-01,9.28110220e-02,7.83167494e-02,2.65567599e-02
26,0.10747388,0.10315526,0.32314739,0.07645757,1.22310869e-01,9.32681021e-02,7.89269537e-02,2.68363389e-02
27,0.10718035,0.10317646,0.32267249,0.07655505,1.22149422e-01,9.41445996e-02,7.90580711e-02,2.69256912e-02
28,0.10667397,0.10314951,0.32183873,0.07641379,1.23097404e-01,9.40110271e-02,7.95065157e-02,2.69749896e-02
29,0.10634415,0.10297612,0.32129127,0.07643202,1.23352767e-01,9.44011216e-02,7.96174850e-02,2.74047231e-02
30,0.10603222,0.10263786,0.32077966,0.07624563,1.23611082e-01,9.47625406e-02,7.99435298e-02,2.71614019e-02
31,0.10580065,0.10298280,0.32038025,0.07631676,1.24064084e-01,9.58715538e-02,7.98853909e-02,2.73593429e-02
32,0.10557717,0.10244634,0.32001646,0.07620632,1.24345345e-01,9.52289631e-02,8.02386299e-02,2.74525971e-02
33,0.10550011,0.10243574,0.31989894,0.07617157,1.24264621e-01,9.59053742e-02,7.99830588e-02,2.75280251e-02
34,0.10526989,0.10204421,0.31950314,0.07611757,1.24696922e-01,9.59626460e-02,8.04550768e-02,2.76158539e-02
35,0.10506210,0.10283529,0.31917517,0.07620848,1.24877836e-01,9.55936433e-02,8.03181492e-02,2.76765130e-02
36,0.10504836,0.10249203,0.31915719,0.07615544,1.24809350e-01,9.54586129e-02,8.02712164e-02,2.76309001e-02
37,0.10492641,0.10249434,0.31895569,0.07619211,1.24989106e-01,9.55971221e-02,8.03817391e-02,2.75663511e-02
38,0.10488386,0.10232928,0.31887811,0.07617172,1.24925771e-01,9.60658959e-02,8.03868601e-02,2.76243843e-02
39,0.10479961,0.10235521,0.31873180,0.07618123,1.25203694e-01,9.63368783e-02,8.03981308e-02,2.77194999e-02
40,0.10488072,0.10233273,0.31886986,0.07617613,1.25072726e-01,9.62172587e-02,8.03567130e-02,2.76413475e-02
41,0.10474563,0.10248699,0.31861041,0.07636866,1.25262644e-01,9.76092072e-02,8.04943757e-02,2.77398802e-02
42,0.10453340,0.10238312,0.31824962,0.07624124,1.25809552e-01,9.75736782e-02,8.07733861e-02,2.77162094e-02
