t
0.08523640
0.08852580
0.09181200
0.09509120
0.09840860
0.10168700
0.10504700
0.10840900
0.11167800
0.11496600
0.11824400
0.12152300
0.12480500
0.12808000
0.13140500
0.13467699
0.13795801
0.14123601
0.14450499
0.14778200
0.15105601
0.15440500
0.15768300
0.16096801
0.16424300
0.16752701
0.17080501
0.17410500
0.17740400
0.18067600
0.18395700
0.18723600
0.19051500
0.19379900
0.19706400
0.20040400
0.20367600
0.20697901
0.21026000
0.21352901
0.21680801
0.22008801
0.22341201
0.22669500
0.22996700
0.23325101
0.23652400
0.23981100
0.24309200
0.24640700
0.24967299
0.25295100
0.25623399
0.25949800
0.26276499
0.26603600
0.26929799
0.27256700
0.27584800
0.27911699
0.28240401
0.28566101
0.28893399
0.29220399
0.29548401
0.29876399
0.30204201
0.30540401
0.30866799
0.31193700
0.31522200
0.31851599
0.32179001
0.32506701
0.32840401
0.33167699
0.33494699
0.33821899
0.34149399
0.34476900
0.34804001
0.35131201
0.35457900
0.35786000
0.36114100
0.36440501
0.36767599
0.37093800
0.37421599
0.37749499
0.38075700
0.38402700
0.38730001
0.39058301
0.39387101
0.39714000
0.40040401
0.40367201
0.40695801
0.41023499
0.41350201
0.41677099
0.42004400
0.42340299
0.42667601
0.42993900
0.43321800
0.43649599
0.43977201
0.44304699
0.44631600
0.44958800
0.45285800
0.45614499
0.45940399
0.46267501
0.46594301
0.46921900
0.47249600
0.47578299
0.47904900
0.48240501
0.48567301
0.48894399
0.49222299
0.49549600
0.49877599
0.50204599
0.50540501
0.50866801
0.51193398
0.51520199
0.51846302
0.52172899
0.52504402
0.52831697
0.53158700
0.53485399
0.53812999
0.54140401
0.54467100
0.54793298
0.55120200
0.55448300
0.55776399
0.56104600
0.56432301
0.56758898
0.57085401
0.57412702
0.57740700
0.58068198
0.58396399
0.58723903
0.59051800
0.59379297
0.59706402
0.60040498
0.60367298
0.60696298
0.61026102
0.61353302
0.61681098
0.62009501
0.62340701
0.62667602
0.62994599
0.63322002
0.63648999
0.63976598
0.64304399
0.64630699
0.64960200
0.65288103
0.65616202
0.65940601
0.66268098
0.66595799
0.66923201
0.67251003
0.67578101
0.67905599
0.68240702
0.68567598
0.68894601
0.69222897
0.69550198
0.69876897
0.70206398
0.70541602
0.70873600
0.71206099
0.71541101
0.71872699
0.72206098
0.72541600
0.72875297
0.73204899
0.73541099
0.73870200
0.74205297
0.74541199
0.74868602
0.75197202
0.75525802
0.75854301
0.76183200
0.76512200
0.76840502
0.77167398
0.77493697
0.77821302
0.78148103
0.78474599
0.78802502
0.79129601
0.79456198
0.79782498
0.80109298
0.80440402
0.80768299
0.81095898
0.81421500
0.81748003
0.82074600
0.82402903
0.82729501
0.83056903
0.83385402
0.83713698
0.84040600
0.84368300
0.84695202
0.85022801
0.85350001
0.85677898
0.86007601
0.86341000
0.86668301
0.86996102
0.87323803
0.87653297
0.87980902
0.88308001
0.88640398
0.88966697
0.89293498
0.89619899
0.89947599
0.90275300
0.90603399
0.90940601
0.91266900
0.91594398
0.91921699
0.92249399
0.92575902
0.92904001
0.93230498
0.93557298
0.93887401
0.94213998
0.94540602
0.94867998
0.95195800
0.95523697
0.95850700
0.96178401
0.96505898
0.96840400
0.97166699
0.97493798
0.97822398
0.98150200
0.98478103
0.98806399
0.99141097
0.99469900
0.99798298
1.00127006
