epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
46,0.09562243,0.11212088,0.08027916,0.08131836,0.10005604,1.41575736e-01,1.86063144e-01,1.07227972e-01,5.52747944e-02
47,0.09525798,0.11329041,0.08013056,0.08136518,0.09970170,1.42192667e-01,1.85206295e-01,1.07298093e-01,5.52342279e-02
48,0.09475818,0.11272013,0.07994412,0.08112758,0.09923218,1.42722013e-01,1.86060851e-01,1.07733236e-01,5.48000691e-02
49,0.09430336,0.11298059,0.07969316,0.08120282,0.09880048,1.43573036e-01,1.86787671e-01,1.07868471e-01,5.47756544e-02
50,0.09377435,0.11325449,0.07951098,0.08120815,0.09829481,1.43984188e-01,1.86738148e-01,1.08235845e-01,5.47240752e-02
51,0.09341958,0.11312834,0.07933782,0.08095241,0.09795706,1.44542485e-01,1.88383799e-01,1.08331595e-01,5.46353747e-02
52,0.09314172,0.11410836,0.07921893,0.08125137,0.09768833,1.44679781e-01,1.87785595e-01,1.08426466e-01,5.44647890e-02
53,0.09279444,0.11427475,0.07906737,0.08125510,0.09735168,1.45111126e-01,1.87237046e-01,1.08496764e-01,5.44033011e-02
54,0.09256237,0.11428586,0.07898778,0.08120977,0.09714203,1.45431415e-01,1.88912814e-01,1.08822035e-01,5.40378939e-02
55,0.09240476,0.11514545,0.07889342,0.08128246,0.09698944,1.45665664e-01,1.89208174e-01,1.08551088e-01,5.42869410e-02
56,0.09214819,0.11486580,0.07879652,0.08126896,0.09673379,1.45683751e-01,1.88373789e-01,1.08641510e-01,5.41861466e-02
57,0.09202514,0.11468812,0.07874095,0.08123609,0.09662808,1.45954649e-01,1.89967665e-01,1.08811156e-01,5.43204777e-02
58,0.09206588,0.11483720,0.07877450,0.08128898,0.09667434,1.46015066e-01,1.88285717e-01,1.08841851e-01,5.44233020e-02
59,0.09198685,0.11490506,0.07872425,0.08125702,0.09658371,1.45785211e-01,1.89047254e-01,1.08629223e-01,5.41378505e-02
60,0.09197980,0.11493771,0.07871344,0.08127044,0.09658004,1.45812365e-01,1.88923259e-01,1.08901358e-01,5.42560271e-02
61,0.09192736,0.11508755,0.07869652,0.08130890,0.09654412,1.46504029e-01,1.89780621e-01,1.08730642e-01,5.41208157e-02
62,0.09172122,0.11596625,0.07861020,0.08147166,0.09634746,1.46386222e-01,1.89173924e-01,1.08843592e-01,5.43701671e-02
63,0.09145204,0.11690301,0.07847955,0.08158841,0.09609061,1.46689172e-01,1.90216851e-01,1.09058978e-01,5.42158888e-02
64,0.09090809,0.11619530,0.07827248,0.08157378,0.09557261,1.47541361e-01,1.91253061e-01,1.09303165e-01,5.39209484e-02
65,0.09061003,0.11635078,0.07815754,0.08139431,0.09529096,1.47492526e-01,1.90590221e-01,1.09676186e-01,5.38988193e-02
66,0.09042095,0.11686926,0.07805990,0.08155722,0.09510003,1.47846243e-01,1.90533047e-01,1.09557895e-01,5.37328163e-02
67,0.09004235,0.11677204,0.07785815,0.08115598,0.09474658,1.48291527e-01,1.91577166e-01,1.09428900e-01,5.39143166e-02
68,0.08980577,0.11816700,0.07775352,0.08155818,0.09451074,1.48444479e-01,1.91724366e-01,1.09413147e-01,5.38807013e-02
69,0.08956407,0.11724997,0.07766645,0.08144436,0.09427735,1.48949624e-01,1.91029468e-01,1.09411057e-01,5.40610835e-02
70,0.08941590,0.11766499,0.07758742,0.08143485,0.09414127,1.48976414e-01,1.92353489e-01,1.09484100e-01,5.37233425e-02
71,0.08921019,0.11800268,0.07752417,0.08147689,0.09394936,1.49412751e-01,1.91941685e-01,1.09529038e-01,5.36174987e-02
