epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
46,0.10748077,0.11189898,0.08493034,0.08068811,0.11113976,1.23521644e-01,1.66447234e-01,9.59663294e-02,5.86561326e-02
47,0.10675749,0.11206600,0.08467469,0.08081720,0.11045924,1.24004648e-01,1.68411969e-01,9.68749518e-02,5.83770417e-02
48,0.10609827,0.11187462,0.08445311,0.08067221,0.10983381,1.24721347e-01,1.69772412e-01,9.73928617e-02,5.79235714e-02
49,0.10554732,0.11120146,0.08422508,0.08049615,0.10931284,1.25279689e-01,1.70141587e-01,9.80967846e-02,5.76789571e-02
50,0.10504358,0.11135469,0.08402994,0.08060636,0.10884032,1.26001140e-01,1.71103442e-01,9.86494336e-02,5.74737113e-02
51,0.10458546,0.11095515,0.08386978,0.08049617,0.10839747,1.26475705e-01,1.71607033e-01,9.87668242e-02,5.73660911e-02
52,0.10428048,0.11140130,0.08375738,0.08052197,0.10811277,1.26637172e-01,1.72071360e-01,9.90106067e-02,5.73451160e-02
53,0.10399843,0.11099961,0.08366762,0.08044596,0.10784470,1.26957899e-01,1.73638838e-01,9.90975171e-02,5.73449318e-02
54,0.10358881,0.11072535,0.08349097,0.08045976,0.10745790,1.27750157e-01,1.73951010e-01,9.92668898e-02,5.72644614e-02
55,0.10347465,0.11059408,0.08346267,0.08046086,0.10734686,1.27381032e-01,1.74079672e-01,9.96223056e-02,5.72326571e-02
56,0.10329611,0.11046966,0.08340551,0.08030757,0.10718251,1.27840442e-01,1.72886203e-01,9.96150873e-02,5.73242104e-02
57,0.10321917,0.11081334,0.08337472,0.08047967,0.10710978,1.27733174e-01,1.73979496e-01,9.96272284e-02,5.72553853e-02
58,0.10316964,0.11077910,0.08333990,0.08046348,0.10705810,1.27816862e-01,1.74159006e-01,9.95899909e-02,5.72323157e-02
59,0.10309740,0.11067304,0.08329816,0.08042035,0.10699203,1.28061137e-01,1.73975070e-01,9.98207952e-02,5.71222244e-02
60,0.10307760,0.11069287,0.08331179,0.08042969,0.10697503,1.28179416e-01,1.74136351e-01,9.97791606e-02,5.70329065e-02
61,0.10307040,0.11143209,0.08328146,0.08057362,0.10698157,1.28494367e-01,1.74643737e-01,9.98692637e-02,5.70477844e-02
62,0.10276952,0.11031625,0.08319754,0.08041773,0.10668897,1.28404398e-01,1.74419869e-01,1.00305753e-01,5.68936016e-02
63,0.10242884,0.11033798,0.08305565,0.08025940,0.10637339,1.29066455e-01,1.76000897e-01,1.00273570e-01,5.72477104e-02
64,0.10211794,0.11040608,0.08291649,0.08044626,0.10607035,1.29272184e-01,1.75710533e-01,1.00516414e-01,5.70410169e-02
65,0.10162100,0.11053119,0.08273428,0.08048230,0.10560771,1.30010244e-01,1.77064443e-01,1.00845013e-01,5.68141679e-02
66,0.10141775,0.11062296,0.08264574,0.08042256,0.10540068,1.30013166e-01,1.75573355e-01,1.00843366e-01,5.67932938e-02
67,0.10122257,0.11041281,0.08257890,0.08039482,0.10522061,1.30420900e-01,1.76002120e-01,1.01027206e-01,5.69393721e-02
68,0.10093216,0.11047726,0.08246157,0.08045057,0.10495006,1.31015956e-01,1.76661891e-01,1.01155184e-01,5.68503128e-02
69,0.10077027,0.11030723,0.08239869,0.08041384,0.10478202,1.31049943e-01,1.77024603e-01,1.01292078e-01,5.68320168e-02
70,0.10065587,0.11040725,0.08237816,0.08034072,0.10469153,1.31235471e-01,1.77575961e-01,1.01294809e-01,5.67215792e-02
71,0.10064465,0.11013278,0.08233776,0.08033805,0.10466613,1.31012838e-01,1.76759411e-01,1.01160942e-01,5.66485096e-02
72,0.10049629,0.11045925,0.08232474,0.08043675,0.10452206,1.31047643e-01,1.77560762e-01,1.01265853e-01,5.67948900e-02
73,0.10026446,0.11035584,0.08221186,0.08036148,0.10430607,1.31505665e-01,1.77312849e-01,1.01343083e-01,5.67752897e-02
74,0.10029590,0.11029688,0.08219620,0.08036414,0.10433538,1.31499383e-01,1.77400690e-01,1.01364762e-01,5.67658397e-02
75,0.10037779,0.11030114,0.08225032,0.08035829,0.10441347,1.31333171e-01,1.77522766e-01,1.01317620e-01,5.68852153e-02
76,0.10045693,0.11047348,0.08230243,0.08034963,0.10450485,1.31782276e-01,1.77279856e-01,1.01517402e-01,5.66425672e-02
77,0.10010863,0.11078410,0.08216232,0.08061034,0.10416491,1.31826347e-01,1.78217352e-01,1.01463983e-01,5.70356158e-02
78,0.09992170,0.11054853,0.08206412,0.08042980,0.10399412,1.32165981e-01,1.78672716e-01,1.01892122e-01,5.66654450e-02
79,0.09974136,0.11119449,0.08197982,0.08063479,0.10382433,1.32503164e-01,1.78090649e-01,1.01915737e-01,5.67235381e-02
80,0.09945232,0.11023918,0.08186763,0.08049011,0.10354308,1.32723112e-01,1.78909566e-01,1.01799458e-01,5.68729654e-02
81,0.09920409,0.11060143,0.08176431,0.08058228,0.10332298,1.33070752e-01,1.78902642e-01,1.02356814e-01,5.66683266e-02
82,0.09909693,0.11019874,0.08172351,0.08035294,0.10321128,1.32954602e-01,1.79541823e-01,1.02215099e-01,5.66085319e-02
83,0.09900278,0.11049383,0.08171294,0.08046798,0.10312447,1.33149527e-01,1.79561124e-01,1.02153446e-01,5.68772948e-02
84,0.09886160,0.11031709,0.08165539,0.08045574,0.10299098,1.33008822e-01,1.79606497e-01,1.02314886e-01,5.69018305e-02
85,0.09857138,0.11044797,0.08152366,0.08046864,0.10271353,1.33588778e-01,1.79792553e-01,1.02399970e-01,5.66476195e-02
86,0.09883112,0.11005778,0.08161221,0.08042880,0.10295475,1.33087642e-01,1.80015384e-01,1.02318191e-01,5.66929762e-02
87,0.09858733,0.11032798,0.08153870,0.08045896,0.10273236,1.33288183e-01,1.81098003e-01,1.02514500e-01,5.66954099e-02
88,0.09862100,0.11032302,0.08153129,0.08047257,0.10276117,1.33433699e-01,1.79618770e-01,1.02306608e-01,5.66242754e-02
89,0.09850603,0.11030601,0.08147157,0.08048096,0.10263832,1.33296889e-01,1.79860563e-01,1.02385247e-01,5.67219926e-02
90,0.09860779,0.11030718,0.08153966,0.08046315,0.10275383,1.33682609e-01,1.79721601e-01,1.02352000e-01,5.66963296e-02
91,0.09852041,0.11056595,0.08149772,0.08058907,0.10266923,1.33682634e-01,1.79689194e-01,1.02680465e-01,5.66089522e-02
92,0.09830235,0.11035179,0.08142730,0.08061556,0.10246348,1.33859023e-01,1.81214794e-01,1.02552476e-01,5.65245373e-02
