epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.18727804,0.16719659,0.10692461,0.09579039,0.18740908,3.51179937e-02,1.22223753e-05,6.38203593e-06,3.22700305e-02
2,0.16355336,0.16179938,0.10185917,0.09486745,0.16420131,7.48113675e-02,1.73969537e-04,4.94855512e-05,7.36559489e-02
3,0.15880979,0.15844639,0.10063208,0.09388381,0.15966771,8.28736115e-02,5.29119073e-04,1.58996835e-04,8.51133583e-02
4,0.15593672,0.15503537,0.09981184,0.09293662,0.15684295,8.61124400e-02,1.03342988e-03,3.32103295e-04,8.87424646e-02
5,0.15339111,0.15254217,0.09908021,0.09239834,0.15434404,8.94336716e-02,1.70016814e-03,5.64638157e-04,9.14915685e-02
6,0.15127506,0.15022957,0.09850542,0.09174980,0.15227260,9.21621082e-02,2.55286311e-03,8.64707361e-04,9.35995209e-02
7,0.14928537,0.14819503,0.09796778,0.09132451,0.15033041,9.44250355e-02,3.56829901e-03,1.26113545e-03,9.57366534e-02
8,0.14752632,0.14623532,0.09751653,0.09091930,0.14861559,9.63021619e-02,4.76184806e-03,1.77089089e-03,9.75980052e-02
9,0.14586760,0.14454121,0.09706346,0.09047838,0.14699920,9.80683063e-02,6.19291989e-03,2.37775371e-03,9.96102744e-02
10,0.14442525,0.14354911,0.09667051,0.09035994,0.14559226,9.98390304e-02,7.83805735e-03,3.07486557e-03,1.01451634e-01
11,0.14330449,0.14257506,0.09636549,0.09024117,0.14449819,1.00900940e-01,9.69519606e-03,3.89773960e-03,1.02957225e-01
12,0.14222574,0.14221993,0.09606318,0.09012320,0.14344285,1.01921834e-01,1.17883244e-02,4.84132585e-03,1.03948327e-01
13,0.14136064,0.14154733,0.09580797,0.09006833,0.14259429,1.02984675e-01,1.40771676e-02,5.94504848e-03,1.04636720e-01
14,0.14049331,0.14115386,0.09556446,0.09005851,0.14174359,1.03686595e-01,1.66326709e-02,7.16196904e-03,1.05273953e-01
15,0.13973065,0.14064621,0.09531755,0.08995984,0.14099725,1.05043695e-01,1.94032758e-02,8.47791446e-03,1.05763762e-01
16,0.13885884,0.14041251,0.09507902,0.08989415,0.14014194,1.06044120e-01,2.23650145e-02,9.92189128e-03,1.06209591e-01
17,0.13811162,0.14003732,0.09486519,0.08983963,0.13940756,1.06922622e-01,2.56840914e-02,1.14468629e-02,1.06460917e-01
18,0.13747578,0.13981372,0.09466988,0.08985614,0.13878732,1.08318497e-01,2.91614252e-02,1.30651011e-02,1.06627193e-01
19,0.13683406,0.13937717,0.09447714,0.08972067,0.13815901,1.09306199e-01,3.28964190e-02,1.47639739e-02,1.06631375e-01
20,0.13626555,0.13941594,0.09431365,0.08982085,0.13760436,1.10228461e-01,3.70108248e-02,1.66157293e-02,1.06743688e-01
21,0.13574350,0.13922648,0.09415983,0.08978948,0.13709390,1.10953560e-01,4.09976054e-02,1.84937108e-02,1.06699920e-01
22,0.13526187,0.13855549,0.09401357,0.08959033,0.13662308,1.11918433e-01,4.51705283e-02,2.05609978e-02,1.06664054e-01
23,0.13470804,0.13841492,0.09384362,0.08961641,0.13608200,1.12936633e-01,5.01605632e-02,2.26848335e-02,1.06406497e-01
24,0.13427620,0.13846714,0.09372018,0.08964168,0.13566369,1.13616254e-01,5.52291502e-02,2.48907813e-02,1.06371862e-01
