n,arch,status,test_rmse,elapsed_sec,activation,batch_size,coriolis_hidden,coriolis_matrix_form,correction_dropout,correction_reg_inertia_normalize,data_train_fraction,data_train_seed,dropout,early_stop_metric,early_stopping,ema_decay,enable_passivity_loss,epochs,feature_noise_std,friction_form,friction_hidden,frozen_lr_ratio,grad_clip_norm,gravity_hidden,hidden_layers,inertia_hidden,inertia_psd,joint_loss_weights,lambda_correction_decay,lambda_correction_reg,lambda_correction_reg_per_component,lambda_passivity,learning_rate,lr_scheduler,min_delta,optimizer,patience,phase2_max_epoch,phase2_min_epoch,phase2_plateau_threshold,phase2_plateau_window,phase2_start_epoch,phi_lr_ratio,physics_warmup_fraction,physics_weight,print_every,seed,snapshot_every,spectral_norm,stride,torch_compile,torch_compile_mode,use_friction_qdd,use_phys_cond,warm_restart_T_0,warm_restart_T_mult,warm_restart_eta_min,weight_decay
71,edr,ok,0.094715,0.0,silu,256,96-96,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,48-48,1.0,1.0,96-96,,96-96,False,,none,0.002,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,True,True,15,1,3e-06,0.002
72,edr,ok,0.094771,0.0,silu,256,96-96,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,48-48,1.0,1.0,96-96,,96-96,False,,none,0.002,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
73,edr,ok,0.094779,0.0,silu,256,48-48,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,24-24,1.0,1.0,48-48,,48-48,False,,none,0.02,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
74,edr,ok,0.094806,0.0,silu,256,64-64,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,32-32,1.0,1.0,64-64,,64-64,False,,none,0.02,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
75,edr,ok,0.094948,0.0,silu,256,64-64,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,32-32,1.0,1.0,64-64,,64-64,False,,none,0.02,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,True,True,15,1,3e-06,0.002
76,edr,ok,0.095011,0.0,silu,256,96-96,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,48-48,1.0,1.0,96-96,,96-96,False,,none,0.02,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,True,True,15,1,3e-06,0.002
77,edr,ok,0.095023,0.0,silu,256,64-64,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,32-32,1.0,1.0,64-64,,64-64,False,,none,0.01,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
78,edr,ok,0.095104,0.0,silu,256,64-64,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,32-32,1.0,1.0,64-64,,64-64,False,,none,0.005,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
79,edr,ok,0.095141,0.0,silu,256,48-48,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,24-24,1.0,1.0,48-48,,48-48,False,,none,0.1,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
80,edr,ok,0.095173,0.0,silu,256,64-64,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,32-32,1.0,1.0,64-64,,64-64,False,,none,0.002,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
81,edr,ok,0.095176,0.0,silu,256,64-64,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,32-32,1.0,1.0,64-64,,64-64,False,,none,0.01,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,True,True,15,1,3e-06,0.002
82,edr,ok,0.095259,0.0,silu,256,64-64,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,32-32,1.0,1.0,64-64,,64-64,False,,none,0.005,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,True,True,15,1,3e-06,0.002
83,edr,ok,0.095318,0.0,silu,256,64-64,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,32-32,1.0,1.0,64-64,,64-64,False,,none,0.002,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,True,True,15,1,3e-06,0.002
84,edr,ok,0.095324,0.0,silu,256,96-96,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,48-48,1.0,1.0,96-96,,96-96,False,,none,0.05,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
85,edr,ok,0.095340,0.0,silu,256,32-32,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,16-16,1.0,1.0,32-32,,32-32,False,,none,0.1,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
86,edr,ok,0.095384,0.0,silu,256,96-96,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,48-48,1.0,1.0,96-96,,96-96,False,,none,0.01,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,True,True,15,1,3e-06,0.002
87,edr,ok,0.095507,0.0,silu,256,96-96,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,48-48,1.0,1.0,96-96,,96-96,False,,none,0.1,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,True,True,15,1,3e-06,0.002
88,edr,ok,0.095547,0.0,silu,256,32-32,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,16-16,1.0,1.0,32-32,,32-32,False,,none,0.01,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
89,edr,ok,0.095585,0.0,silu,256,32-32,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,16-16,1.0,1.0,32-32,,32-32,False,,none,0.005,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
90,edr,ok,0.095600,0.0,silu,256,96-96,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,48-48,1.0,1.0,96-96,,96-96,False,,none,0.005,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,True,True,15,1,3e-06,0.002
91,edr,ok,0.095613,0.0,silu,256,32-32,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,16-16,1.0,1.0,32-32,,32-32,False,,none,0.002,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
92,edr,ok,0.095778,0.0,silu,256,48-48,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,24-24,1.0,1.0,48-48,,48-48,False,,none,0.05,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
93,edr,ok,0.096005,0.0,silu,256,32-32,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,16-16,1.0,1.0,32-32,,32-32,False,,none,0.05,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
94,edr,ok,0.096570,0.0,silu,256,32-32,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,16-16,1.0,1.0,32-32,,32-32,False,,none,0.02,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
95,edr,ok,0.096603,0.0,silu,256,96-96,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,48-48,1.0,1.0,96-96,,96-96,False,,none,0.02,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
96,edr,ok,0.097145,0.0,silu,256,96-96,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,48-48,1.0,1.0,96-96,,96-96,False,,none,0.01,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
97,fnn,ok,0.096875,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,128-256-128,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
98,fnn,ok,0.097314,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,128-256-128,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
99,fnn,ok,0.098085,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,128-256-128,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
100,fnn,ok,0.098634,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,128-256-128,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
101,fnn,ok,0.098664,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,256-512-256,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
102,fnn,ok,0.098843,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,256-512-256,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
103,fnn,ok,0.099224,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,256-512-256,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
104,fnn,ok,0.099443,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,256-256,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
105,fnn,ok,0.099484,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,256-256,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
106,fnn,ok,0.099761,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,256-512-256,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
107,fnn,ok,0.099784,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,256-256,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
108,fnn,ok,0.099881,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,256-256,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
109,fnn,ok,0.100005,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,128-256-128,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
110,fnn,ok,0.100146,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,256-256,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
111,fnn,ok,0.100471,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,512-512-512,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
112,fnn,ok,0.100474,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,256-512-256,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
113,fnn,ok,0.100477,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,256-512-256,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
114,fnn,ok,0.100485,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,512-512-512,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
115,fnn,ok,0.100738,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,128-256-128,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
116,fnn,ok,0.100756,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,128-128,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
117,fnn,ok,0.100788,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,128-128,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
118,fnn,ok,0.100808,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,256-256,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
119,fnn,ok,0.100876,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,128-128,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
120,fnn,ok,0.100887,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,512-512-512,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
121,fnn,ok,0.100893,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,512-512-512,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
122,fnn,ok,0.100959,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,512-512-512,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
123,fnn,ok,0.100992,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,128-128,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
124,fnn,ok,0.101026,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,512-512-512,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
125,fnn,ok,0.101035,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,128-128,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
126,fnn,ok,0.101067,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,128-256-128,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
127,fnn,ok,0.101101,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,128-256-128,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
128,fnn,ok,0.101496,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,128-128,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
129,fnn,ok,0.101722,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,512-512-512,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
130,fnn,ok,0.101729,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,128-128,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
131,fnn,ok,0.101753,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,512-512-512,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
132,fnn,ok,0.101943,0.0,silu,512,,,,,1.0,42,0.5,val_rmse,True,,,1000,0.02,,,,5.0,,128-128,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
133,fnn,ok,0.102060,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,256-512-256,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
134,fnn,ok,0.102071,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,256-512-256,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
135,fnn,ok,0.102324,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,256-256,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
136,fnn,ok,0.102649,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,256-256,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
137,fnn,ok,0.104694,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,256-512-256,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
138,fnn,ok,0.104701,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,256-512-256,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
139,fnn,ok,0.104740,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,128-128,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
140,fnn,ok,0.104823,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,128-128,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
141,fnn,ok,0.104855,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,128-128,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
142,fnn,ok,0.104899,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,128-128,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
143,fnn,ok,0.105273,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,256-512-256,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
144,fnn,ok,0.106070,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,256-512-256,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
145,fnn,ok,0.106580,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,128-256-128,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
146,fnn,ok,0.106589,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,128-256-128,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
147,fnn,ok,0.106709,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,128-256-128,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
148,fnn,ok,0.107236,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,128-256-128,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
149,fnn,ok,0.107923,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,512-512-512,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
150,fnn,ok,0.107928,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,512-512-512,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
151,fnn,ok,0.108438,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,256-256,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
152,fnn,ok,0.108472,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,256-256,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
153,fnn,ok,0.108861,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,256-256,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
154,fnn,ok,0.108863,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,256-256,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
155,fnn,ok,0.108993,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,512-512-512,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.0001
156,fnn,ok,0.109065,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,512-512-512,,,,,,,,0.001,cosine_warm_restarts,1e-05,adamw,50,,,,,,,,,,42,0,,1,False,default,,,15,1,3e-06,0.005
157,physreg,ok,0.089287,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,512-512-512,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,0.1,0.05,1.0,,42,0,,1,False,default,,,15,1,3e-06,0.005
158,physreg,ok,0.089740,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,256-512-256,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,0.1,0.05,1.0,,42,0,,1,False,default,,,15,1,3e-06,0.005
159,physreg,ok,0.090013,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,256-256,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,0.1,0.05,0.5,,42,0,,1,False,default,,,15,1,3e-06,0.005
160,physreg,ok,0.090100,0.0,silu,512,,,,,1.0,42,0.1,val_rmse,True,,,1000,0.02,,,,5.0,,128-256-128,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,0.1,0.05,1.0,,42,0,,1,False,default,,,15,1,3e-06,0.005
161,physreg,ok,0.090351,0.0,silu,512,,,,,1.0,42,0.3,val_rmse,True,,,1000,0.02,,,,5.0,,256-256,,,,,,,,0.0003,cosine_warm_restarts,1e-05,adamw,50,,,,,,0.1,0.05,0.25,,42,0,,1,False,default,,,15,1,3e-06,0.005
