epoch,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
141,0.122091,0.394849,0.174742,0.215826
142,0.122494,0.391639,0.172895,0.215558
143,0.122075,0.38836,0.172031,0.215107
144,0.122196,0.383658,0.1701,0.214608
145,0.122013,0.380153,0.168827,0.213827
146,0.122588,0.375583,0.167744,0.21269
147,0.122218,0.37577,0.166519,0.212392
148,0.122378,0.372346,0.164542,0.211784
149,0.122383,0.368427,0.163904,0.210871
150,0.12307,0.364184,0.162212,0.209864
151,0.122493,0.360083,0.160901,0.209412
152,0.122529,0.358058,0.160097,0.209158
153,0.122067,0.355275,0.1588,0.208375
154,0.122243,0.352694,0.157743,0.207419
155,0.122425,0.350083,0.157035,0.207055
156,0.122548,0.34522,0.155675,0.206173
157,0.122337,0.340847,0.155132,0.20525
158,0.122769,0.339609,0.15352,0.204933
159,0.122867,0.34031,0.152441,0.20439
160,0.122455,0.33532,0.15152,0.20393
161,0.122797,0.333536,0.15021,0.202883
162,0.122896,0.330504,0.149281,0.202545
163,0.122437,0.326704,0.14838,0.201467
164,0.123002,0.324194,0.147421,0.201413
165,0.122708,0.322527,0.146413,0.200204
166,0.122503,0.31892,0.14575,0.19994
167,0.12257,0.318383,0.145048,0.198762
168,0.122896,0.314461,0.143981,0.198302
169,0.122971,0.31216,0.142742,0.19768
170,0.12264,0.310566,0.142623,0.196796
171,0.122939,0.309746,0.141618,0.195858
172,0.122913,0.306029,0.140804,0.195935
173,0.122802,0.302764,0.14037,0.195097
174,0.122926,0.299749,0.139281,0.194352
175,0.122978,0.30033,0.138558,0.193316
176,0.123073,0.296872,0.137936,0.192715
177,0.123318,0.296605,0.136683,0.192282
178,0.123391,0.292482,0.136371,0.191063
179,0.122943,0.290458,0.135844,0.190597
180,0.123348,0.288645,0.135184,0.189574
181,0.122897,0.287193,0.13435,0.189555
182,0.1231,0.28438,0.13368,0.188639
183,0.123476,0.284119,0.133164,0.187927
184,0.123152,0.28024,0.13236,0.187193
185,0.12329,0.279506,0.13141,0.187128
186,0.123687,0.279015,0.131406,0.185947
187,0.123414,0.275179,0.130485,0.186118
188,0.123714,0.277816,0.129472,0.185454
189,0.123652,0.274245,0.128917,0.184479
190,0.123757,0.271742,0.128823,0.183501
191,0.123732,0.269703,0.128183,0.182765
192,0.123832,0.268677,0.127574,0.182411
193,0.123613,0.265985,0.12706,0.181471
194,0.123525,0.264553,0.126636,0.180805
195,0.12404,0.261488,0.125916,0.179774
