epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.19685237,0.17991063,0.10890115,0.09838982,0.19687366,0.10312342,2.45456856e-02,5.54460367e-05,2.50642721e-05,1.61927050e-02
2,0.17379627,0.16111216,0.10404968,0.09448035,0.17396946,0.10239350,6.82679550e-02,6.04912277e-04,2.21605662e-04,5.13225992e-02
3,0.16185750,0.15820288,0.10146909,0.09389898,0.16223407,0.10151334,7.86168745e-02,1.96951130e-03,6.22719030e-04,7.75613195e-02
4,0.15883192,0.15520869,0.10061462,0.09313494,0.15927787,0.10056090,8.29007535e-02,4.04370054e-03,1.23573885e-03,8.52377966e-02
5,0.15644756,0.15263876,0.09992130,0.09246301,0.15691710,0.09955854,8.61742116e-02,6.79449063e-03,2.13828455e-03,8.86297063e-02
6,0.15433523,0.15031566,0.09931800,0.09198391,0.15482739,0.09853488,8.93811317e-02,1.02846074e-02,3.46298676e-03,9.11626766e-02
7,0.15273428,0.14846817,0.09888809,0.09147668,0.15324723,0.09750893,9.17244249e-02,1.46426530e-02,5.41740342e-03,9.33460694e-02
8,0.15119938,0.14722489,0.09850170,0.09122638,0.15172900,0.09651728,9.28810753e-02,1.97401617e-02,8.09025749e-03,9.49236250e-02
9,0.14994852,0.14620100,0.09815899,0.09099689,0.15049773,0.09558211,9.51662527e-02,2.60239359e-02,1.14793369e-02,9.64085236e-02
10,0.14866048,0.14504384,0.09783275,0.09084071,0.14922537,0.09471979,9.65131607e-02,3.32165252e-02,1.52733843e-02,9.76048473e-02
11,0.14742039,0.14392024,0.09753211,0.09054567,0.14800466,0.09393325,9.83208213e-02,4.11736579e-02,1.95626086e-02,9.88237158e-02
12,0.14608564,0.14291893,0.09717270,0.09033456,0.14668930,0.09323746,1.00115794e-01,5.02612935e-02,2.41014228e-02,1.00157757e-01
13,0.14483275,0.14205370,0.09687112,0.09027515,0.14545806,0.09263107,1.01529417e-01,6.04997903e-02,2.88440153e-02,1.01447618e-01
14,0.14377581,0.14144581,0.09659547,0.09012943,0.14442568,0.09211450,1.02536904e-01,7.20466377e-02,3.39230788e-02,1.02808002e-01
15,0.14293289,0.14105994,0.09635533,0.09014101,0.14360881,0.09168449,1.04417013e-01,8.34320897e-02,3.93209845e-02,1.03523547e-01
16,0.14200657,0.14037612,0.09610121,0.09005356,0.14271044,0.09131774,1.05118841e-01,9.73947408e-02,4.54482013e-02,1.04346277e-01
17,0.14127259,0.13946867,0.09589491,0.08989295,0.14200815,0.09099201,1.06197554e-01,1.11360223e-01,5.18560294e-02,1.04982198e-01
