source_file,geometry_type,radius_mm,planner,ctrl_hz,fb_hz,duration_sec,n_samples,ee_rms_err_mm,start_idx,end_idx_exclusive
parabola_r81mm_az30el0_cx226cy95cz369_quintic_poly_ctrlmax_fbmax_001.json,parabola,0.0,Quintic Poly,305.769,305.77,5.83594,1749,21.1677,76181,77930
parabola_r75mm_xz_cx66cyn265cz302_quintic_poly_ctrlmax_fbmax_001.json,parabola,0.0,Quintic Poly,304.472,304.469,8.70695,2591,12.8097,77930,80521
rectangle_r134mm_az-45el0_cxn159cy220cz320_quintic_poly_ctrlmax_fbmax_001.json,rectangle,0.0,Quintic Poly,304.21,304.216,19.4325,5777,16.2157,80521,86298
rectangle_r163mm_az-150el0_cxn164cyn130cz285_ruckig_ctrlmax_fbmax_001.json,rectangle,0.0,Ruckig,303.619,303.616,8.86103,2641,13.398,86298,88939
regular_polygon_r75mm_xz_cxn214cy205cz240_ruckig_ctrlmax_fbmax_001.json,regular_polygon,0.0,Ruckig,304.506,304.504,10.654,3172,14.7368,88939,92111
sine_wave_r75mm_xz_cxn214cy205cz243_ruckig_ctrlmax_fbmax_001.json,sine_wave,0.0,Ruckig,303.846,303.848,4.69564,1397,19.1879,92111,93508
sine_wave_r140mm_az-149el29_cxn206cyn159cz260_ruckig_ctrlmax_fb240hz_001.json,sine_wave,0.0,Ruckig,1152.76,242.347,7.23246,1703,14.5793,93508,95211
sine_wave_r65mm_xz_cx66cyn265cz278_quintic_poly_ctrlmax_fbmax_001.json,sine_wave,0.0,Quintic Poly,304.934,304.931,10.0733,3008,14.605,95211,98219
spiral_r140mm_az-150el0_cxn164cyn130cz273_ruckig_ctrlmax_fbmax_001.json,spiral,0.0,Ruckig,303.755,303.754,18.7197,5575,10.8275,98219,103794
spiral_r64mm_xz_cx63cyn265cz281_quintic_poly_ctrlmax_fbmax_001.json,spiral,0.0,Quintic Poly,302.755,302.755,18.3008,5440,16.3536,103794,109234
spiral_r75mm_az-45el0_cxn159cy221cz313_ruckig_ctrlmax_fbmax_001.json,spiral,0.0,Ruckig,303.833,303.833,17.1831,5116,14.1641,109234,114350
spiral_r140mm_az-149el29_cxn215cyn162cz244_ruckig_ctrlmax_fb240hz_001.json,spiral,0.0,Ruckig,1118.04,245.937,17.4755,4114,15.4827,114350,118464
square_r92mm_az-45el0_cxn159cy220cz320_quintic_poly_ctrlmax_fbmax_001.json,square,0.0,Quintic Poly,304.973,304.981,17.839,5316,14.6377,118464,123780
square_r99mm_yz_cx215cy35cz330_trapezoidal_ctrlmax_fbmax_001.json,square,0.0,Trapezoidal,304.19,304.191,9.16916,2735,10.7527,123780,126515
triangle_r100mm_yz_cxn264cy115cz145_ruckig_ctrlmax_fbmax_001.json,triangle,0.0,Ruckig,305.064,305.063,5.87805,1763,20.4444,126515,128278
triangle_r75mm_xz_cxn94cyn105cz365_ruckig_ctrlmax_fbmax_001.json,triangle,0.0,Ruckig,302.686,302.684,9.73241,2897,5.73999,128278,131175
triangle_r75mm_xz_cxn214cy205cz240_ruckig_ctrlmax_fbmax_001.json,triangle,0.0,Ruckig,302.902,302.904,9.37472,2790,13.281,131175,133965
triangle_r115mm_az-45el0_cxn159cy220cz320_quintic_poly_ctrlmax_fbmax_001.json,triangle,0.0,Quintic Poly,303.952,303.949,18.6953,5566,18.1373,133965,139531
