epoch,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
140,0.143861,0.885001,0.375409,0.0965359
141,0.143615,0.876897,0.370981,0.096208
142,0.144496,0.866072,0.366102,0.0963766
143,0.144081,0.860767,0.36273,0.0961362
144,0.144249,0.851221,0.358061,0.0957743
145,0.144392,0.844081,0.354008,0.0955217
146,0.144273,0.833139,0.350396,0.0955188
147,0.144823,0.825171,0.347048,0.0954009
148,0.144572,0.817403,0.342317,0.0954217
149,0.144988,0.80911,0.339001,0.0951807
150,0.144813,0.805197,0.334901,0.0954202
151,0.144873,0.791841,0.33214,0.0951219
152,0.145274,0.783717,0.328909,0.0951464
153,0.144943,0.780243,0.324569,0.0952642
154,0.145071,0.767142,0.321627,0.0949127
155,0.145065,0.762356,0.318052,0.0946745
156,0.145127,0.753074,0.314853,0.094364
157,0.144739,0.744511,0.311235,0.0942422
158,0.145292,0.742288,0.308651,0.0939036
159,0.145093,0.736705,0.305994,0.0941188
160,0.145237,0.724343,0.301924,0.0939646
161,0.145114,0.717169,0.299411,0.09382
162,0.145464,0.712235,0.296427,0.0936606
163,0.145728,0.705158,0.293611,0.093416
164,0.145952,0.701017,0.289948,0.0931248
165,0.145788,0.691421,0.287583,0.093026
166,0.145683,0.683214,0.284576,0.0929635
167,0.146217,0.681864,0.281761,0.0925064
168,0.145764,0.671209,0.27954,0.0929368
169,0.146038,0.665429,0.276088,0.0929286
170,0.145789,0.659303,0.27385,0.0928117
171,0.146067,0.652838,0.271704,0.0927207
172,0.146053,0.648759,0.268501,0.0925373
173,0.14591,0.644083,0.265736,0.0923914
174,0.14602,0.636531,0.263515,0.0922255
175,0.14639,0.6317,0.262079,0.0923003
176,0.146406,0.624715,0.258807,0.0918008
177,0.146377,0.617494,0.256884,0.0915552
178,0.146523,0.614048,0.254183,0.0917908
179,0.146781,0.605481,0.252455,0.0914983
180,0.146321,0.600025,0.249662,0.0912932
181,0.1465,0.596738,0.24783,0.0913674
182,0.146687,0.589857,0.246103,0.0905513
183,0.146398,0.587506,0.244511,0.0907033
184,0.146481,0.58521,0.241639,0.0907291
185,0.146839,0.579692,0.239667,0.0907075
186,0.146398,0.572619,0.237112,0.0901899
187,0.146575,0.570821,0.234507,0.0904097
188,0.146945,0.566198,0.232886,0.0900593
189,0.146923,0.558971,0.231435,0.0898773
190,0.146735,0.552509,0.229424,0.0896004
191,0.146906,0.550586,0.227348,0.089443
192,0.1466,0.545531,0.225765,0.0892982
193,0.14698,0.542971,0.224505,0.0890021
194,0.146909,0.537546,0.222613,0.0894401
195,0.147091,0.532464,0.220383,0.0890905
196,0.146795,0.527202,0.218103,0.0887877
197,0.146926,0.522278,0.2164,0.0886448
198,0.147023,0.522498,0.215814,0.0886883
199,0.147083,0.514895,0.213904,0.0884901
200,0.147253,0.509775,0.211658,0.0881962
201,0.14687,0.508059,0.210215,0.0880891
202,0.147351,0.504764,0.208955,0.0879322
203,0.14683,0.501826,0.207289,0.0878364
204,0.147285,0.495903,0.205516,0.0874211
205,0.147369,0.494198,0.204628,0.0874149
206,0.147617,0.490799,0.203029,0.0874015
207,0.14731,0.48584,0.201901,0.0872402
208,0.147247,0.482899,0.199973,0.0868802
209,0.147501,0.482274,0.1983,0.0865813
210,0.147409,0.475111,0.19733,0.086381
211,0.147628,0.473192,0.19589,0.0861878
212,0.147274,0.469745,0.194867,0.0859758
213,0.147826,0.467198,0.193034,0.0858525
214,0.14759,0.462193,0.191908,0.0857497
