architecture,epoch,train_rmse,val_rmse,overfit_gap
FNN,134,0.0709064,0.0846583,0.0137519
FNN,135,0.070984,0.0847268,0.0137428
FNN,136,0.071419,0.085199,0.01378
FNN,137,0.0713217,0.0856965,0.0143748
FNN,138,0.0713523,0.0849864,0.0136341
FNN,139,0.0710105,0.0848776,0.0138671
FNN,140,0.0709494,0.0849831,0.0140337
FNN,141,0.0707116,0.0852467,0.0145351
FNN,142,0.070785,0.0852345,0.0144495
FNN,143,0.0704834,0.084878,0.0143947
FNN,144,0.0702503,0.0848371,0.0145868
FNN,145,0.0701625,0.0849495,0.0147871
FNN,146,0.07025,0.0846058,0.0143558
FNN,147,0.0701036,0.0846908,0.0145872
FNN,148,0.0700317,0.0846008,0.0145691
FNN,149,0.0699709,0.0845873,0.0146164
FNN,150,0.0697819,0.0845822,0.0148003
FNN,151,0.0704186,0.0845443,0.0141257
FNN,152,0.0704521,0.0848902,0.0144381
FNN,153,0.0704838,0.0849657,0.0144819
FNN,154,0.0701472,0.0846819,0.0145347
FNN,155,0.0699814,0.0853161,0.0153346
FNN,156,0.0699685,0.0851485,0.01518
FNN,157,0.0697525,0.0845049,0.0147523
FNN,158,0.0694748,0.0842584,0.0147836
FNN,159,0.069587,0.0844748,0.0148877
FNN,160,0.0693668,0.0843775,0.0150107
FNN,161,0.0691746,0.0845279,0.0153533
FNN,162,0.0689795,0.0844286,0.015449
FNN,163,0.069137,0.0844131,0.0152761
FNN,164,0.0690684,0.0843533,0.0152849
FNN,165,0.0690048,0.0842816,0.0152769
FNN,166,0.06951,0.0849224,0.0154124
FNN,167,0.0694461,0.0854341,0.015988
FNN,168,0.0693569,0.0841783,0.0148214
FNN,169,0.0692781,0.0846695,0.0153913
FNN,170,0.0691138,0.08484,0.0157262
FNN,171,0.0690622,0.0843916,0.0153294
FNN,172,0.0688524,0.0844465,0.0155941
FNN,173,0.0688243,0.0839692,0.0151449
FNN,174,0.0686899,0.0839339,0.015244
FNN,175,0.068434,0.0844498,0.0160158
FNN,176,0.0684624,0.0841529,0.0156905
FNN,177,0.0682262,0.084158,0.0159319
FNN,178,0.0683219,0.0842944,0.0159725
