architecture,n_runs,best_test_rmse,mean_test_rmse,std_test_rmse,median_test_rmse
FNN,60,0.097171,0.103115,0.00387146,0.10189
Physics-Reg.,48,0.089562,0.0931975,0.00268606,0.0924035
EDR,72,0.062645,0.0680079,0.00505018,0.0660305
