epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
46,0.09780864,0.11399358,0.08102378,0.08175417,0.10547019,1.32423764e-01,1.65849367e-01,1.00836736e-01,5.46787221e-02
47,0.09727123,0.11449031,0.08079994,0.08163845,0.10498762,1.33115930e-01,1.67168678e-01,1.01052110e-01,5.47450126e-02
48,0.09640918,0.11498805,0.08046569,0.08181959,0.10420090,1.34206673e-01,1.67660599e-01,1.01341090e-01,5.47772768e-02
49,0.09598691,0.11469829,0.08026169,0.08151673,0.10381654,1.34751811e-01,1.68433221e-01,1.01601728e-01,5.47445953e-02
50,0.09545596,0.11486115,0.08003558,0.08172500,0.10334687,1.35381660e-01,1.69185901e-01,1.01921303e-01,5.48843242e-02
51,0.09498732,0.11488214,0.07980983,0.08148554,0.10291896,1.35863728e-01,1.68415083e-01,1.02104188e-01,5.48879086e-02
52,0.09458293,0.11520942,0.07963297,0.08177329,0.10253706,1.36327029e-01,1.69192135e-01,1.02325396e-01,5.48564600e-02
53,0.09412313,0.11592146,0.07944657,0.08168269,0.10212099,1.36710915e-01,1.70468011e-01,1.02434877e-01,5.48697242e-02
54,0.09390445,0.11574239,0.07937603,0.08176439,0.10191537,1.36894144e-01,1.70435086e-01,1.02551021e-01,5.49401403e-02
55,0.09377057,0.11587468,0.07927964,0.08194171,0.10180201,1.37282649e-01,1.70125099e-01,1.02644327e-01,5.48882362e-02
56,0.09344181,0.11577552,0.07917425,0.08187035,0.10149627,1.37496263e-01,1.70273648e-01,1.02774644e-01,5.50390247e-02
57,0.09341840,0.11599608,0.07915133,0.08189327,0.10148840,1.37493535e-01,1.69938969e-01,1.03022343e-01,5.49478311e-02
58,0.09328877,0.11620614,0.07908554,0.08192398,0.10136045,1.37617488e-01,1.70252427e-01,1.02919208e-01,5.48923535e-02
59,0.09320851,0.11606724,0.07905988,0.08190702,0.10128708,1.37679917e-01,1.70440062e-01,1.02928132e-01,5.48296362e-02
60,0.09317631,0.11609799,0.07904285,0.08189181,0.10127429,1.38126896e-01,1.70265821e-01,1.02944256e-01,5.48602135e-02
61,0.09328863,0.11630969,0.07909625,0.08208003,0.10139153,1.38089015e-01,1.71661111e-01,1.02989351e-01,5.51066982e-02
62,0.09292327,0.11699941,0.07894768,0.08202874,0.10105387,1.38174960e-01,1.71012801e-01,1.03107550e-01,5.51520046e-02
63,0.09237572,0.11670683,0.07871808,0.08200542,0.10056647,1.39078594e-01,1.71041811e-01,1.03479222e-01,5.50135201e-02
64,0.09205292,0.11669002,0.07859186,0.08176958,0.10026471,1.39395616e-01,1.71859906e-01,1.03647109e-01,5.49908261e-02
65,0.09152380,0.11732564,0.07833632,0.08204958,0.09976998,1.39894979e-01,1.72586964e-01,1.03709249e-01,5.47391196e-02
66,0.09147294,0.11796853,0.07831015,0.08223404,0.09974427,1.40085510e-01,1.72013809e-01,1.03781422e-01,5.48054136e-02
67,0.09108333,0.11780823,0.07816138,0.08222021,0.09938889,1.40198461e-01,1.72658891e-01,1.04007766e-01,5.49208454e-02
68,0.09086019,0.11747800,0.07806183,0.08215272,0.09918387,1.40470566e-01,1.73209557e-01,1.04056252e-01,5.49259055e-02
69,0.09043021,0.11778255,0.07785249,0.08221211,0.09876887,1.40852125e-01,1.72362672e-01,1.04331143e-01,5.48271882e-02
70,0.09033036,0.11810039,0.07781555,0.08217261,0.09869772,1.41181397e-01,1.72904964e-01,1.04149575e-01,5.48066925e-02
71,0.09019680,0.11826777,0.07777939,0.08216887,0.09857248,1.41426218e-01,1.72954234e-01,1.04315019e-01,5.47148254e-02
72,0.09007454,0.11805837,0.07773586,0.08209084,0.09846049,1.41515244e-01,1.72884658e-01,1.04226176e-01,5.46012531e-02
73,0.08997378,0.11838987,0.07766775,0.08222516,0.09834527,1.41141514e-01,1.72219559e-01,1.04483960e-01,5.46372239e-02
74,0.08992523,0.11837387,0.07766117,0.08220907,0.09833581,1.41757576e-01,1.73402130e-01,1.04309917e-01,5.45647429e-02
75,0.08991346,0.11840303,0.07768304,0.08221392,0.09833278,1.41813669e-01,1.73341743e-01,1.04273665e-01,5.46302822e-02
76,0.09011727,0.11888379,0.07770698,0.08235395,0.09852154,1.41677537e-01,1.74356701e-01,1.04261288e-01,5.48374138e-02
77,0.08978850,0.11900085,0.07763040,0.08240759,0.09820183,1.41800014e-01,1.72973454e-01,1.04399619e-01,5.47800644e-02
78,0.08934731,0.11942774,0.07742219,0.08256746,0.09782812,1.42762985e-01,1.73954335e-01,1.04462747e-01,5.46359229e-02
79,0.08914449,0.11980262,0.07733662,0.08236824,0.09764134,1.42794377e-01,1.73371893e-01,1.04762281e-01,5.45335896e-02
80,0.08864721,0.12003795,0.07711803,0.08247583,0.09715476,1.43040313e-01,1.73582015e-01,1.04672793e-01,5.44777936e-02
81,0.08840568,0.12033148,0.07703873,0.08244819,0.09695332,1.43401750e-01,1.75059536e-01,1.04670639e-01,5.46539284e-02
82,0.08838567,0.11879218,0.07703929,0.08234153,0.09694610,1.43574342e-01,1.75009717e-01,1.04752639e-01,5.45651535e-02
83,0.08796407,0.11919070,0.07683393,0.08238840,0.09655468,1.43892130e-01,1.74855367e-01,1.04971850e-01,5.45047986e-02
84,0.08802470,0.11971355,0.07686873,0.08244873,0.09660875,1.43959451e-01,1.74603078e-01,1.04610745e-01,5.45284535e-02
