epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
42,0.12741461,0.13089893,0.09149326,0.08841381,0.13164733,0.08858571,1.19620643e-01,1.56594219e-01,6.74017210e-02,9.97827590e-02
43,0.12686451,0.13063534,0.09127418,0.08817077,0.13120227,0.08853599,1.20096417e-01,1.62766722e-01,7.05397161e-02,9.96989063e-02
44,0.12624453,0.13105585,0.09107046,0.08816680,0.13068344,0.08850396,1.20887721e-01,1.68473361e-01,7.33856792e-02,9.97554708e-02
45,0.12565103,0.13149134,0.09088320,0.08827052,0.13020539,0.08848603,1.21173263e-01,1.75211866e-01,7.63437637e-02,9.97214635e-02
46,0.12500742,0.12981711,0.09065570,0.08783271,0.12967530,0.08843897,1.21699354e-01,1.82232911e-01,7.95068773e-02,9.97162251e-02
47,0.12445352,0.12918881,0.09046617,0.08754218,0.12924296,0.08836693,1.22299558e-01,1.88198594e-01,8.25860571e-02,9.94141690e-02
48,0.12381203,0.13016620,0.09019577,0.08795192,0.12873488,0.08834665,1.22956329e-01,1.96070464e-01,8.55558838e-02,9.99301604e-02
49,0.12329024,0.12956557,0.09000012,0.08764913,0.12832888,0.08829737,1.23327529e-01,2.01548013e-01,8.87847155e-02,9.97115877e-02
50,0.12254170,0.12851810,0.08974122,0.08725233,0.12770835,0.08821333,1.24227639e-01,2.06911313e-01,9.17512663e-02,9.96923222e-02
51,0.12201706,0.12923879,0.08953742,0.08745309,0.12732193,0.08814573,1.24519484e-01,2.14121049e-01,9.49186072e-02,9.99563455e-02
52,0.12145807,0.12872676,0.08935424,0.08724355,0.12689128,0.08806544,1.25305987e-01,2.19470120e-01,9.76864085e-02,9.96257317e-02
53,0.12084013,0.12806865,0.08911815,0.08687028,0.12640675,0.08795887,1.25645964e-01,2.25788820e-01,1.00893182e-01,9.97521942e-02
54,0.12024350,0.12771380,0.08890063,0.08681063,0.12594714,0.08785089,1.26255390e-01,2.31894649e-01,1.04069323e-01,9.95186751e-02
55,0.11961024,0.12783350,0.08865276,0.08662178,0.12544600,0.08773089,1.26670746e-01,2.37910492e-01,1.06836176e-01,9.95261672e-02
