epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
46,0.10224575,0.80546952,0.08455250,0.09079663,0.55564992,9.18470409e-02,6.19912577e-02,7.75286262e-02,2.86265217e-02
47,0.10198435,0.80611381,0.08446970,0.09079468,0.55496991,9.26656904e-02,6.24435905e-02,7.79591019e-02,2.86536051e-02
48,0.10168243,0.80437252,0.08436684,0.09072671,0.55357210,9.22608217e-02,6.25507880e-02,7.83474501e-02,2.81873310e-02
49,0.10168136,0.80402337,0.08440566,0.09052584,0.55329018,9.26452198e-02,6.22561819e-02,7.82706233e-02,2.78199098e-02
50,0.10134586,0.80498160,0.08427109,0.09067090,0.55210998,9.29770219e-02,6.19880673e-02,7.86125531e-02,2.76674686e-02
51,0.10113310,0.80369747,0.08419317,0.09057545,0.55137916,9.29440200e-02,6.29882590e-02,7.88598419e-02,2.78199664e-02
52,0.10110991,0.80322223,0.08415250,0.09050277,0.55103338,9.27395174e-02,6.19680375e-02,7.90361752e-02,2.76652937e-02
53,0.10082096,0.80505201,0.08411087,0.09062905,0.55000664,9.34092026e-02,6.30635845e-02,7.85152363e-02,2.75802197e-02
54,0.10073360,0.80393229,0.08406968,0.09065948,0.54952999,9.36130332e-02,6.19057055e-02,7.91605726e-02,2.73642273e-02
55,0.10073607,0.80387823,0.08405844,0.09064595,0.54989338,9.34819193e-02,6.22219231e-02,7.90199187e-02,2.73955706e-02
56,0.10048739,0.80423214,0.08398532,0.09057079,0.54877599,9.38965321e-02,6.16976249e-02,7.89629401e-02,2.71819868e-02
57,0.10053513,0.80372004,0.08398881,0.09057716,0.54874917,9.38247973e-02,6.20109346e-02,7.89866721e-02,2.72318748e-02
58,0.10053313,0.80360784,0.08399012,0.09058837,0.54898062,9.39616708e-02,6.19644123e-02,7.89775889e-02,2.70778307e-02
59,0.10037814,0.80345438,0.08393071,0.09056971,0.54812540,9.37755952e-02,6.17980960e-02,7.89042986e-02,2.71657151e-02
60,0.10044143,0.80334756,0.08397511,0.09055791,0.54846916,9.39089689e-02,6.18624365e-02,7.87852556e-02,2.71631720e-02
61,0.10046473,0.80348662,0.08397601,0.09075308,0.54925089,9.40918201e-02,6.22430537e-02,7.88296702e-02,2.71984669e-02
62,0.10032905,0.80267742,0.08393634,0.09068461,0.54859684,9.36913009e-02,6.31591546e-02,7.94805712e-02,2.69004008e-02
63,0.10007085,0.80299803,0.08386486,0.09057872,0.54764037,9.46173503e-02,6.27490165e-02,7.94762656e-02,2.69171309e-02
64,0.09989871,0.80149203,0.08378355,0.09036514,0.54671272,9.45164976e-02,6.25041976e-02,7.94915384e-02,2.69892591e-02
65,0.09972439,0.80111307,0.08374483,0.09027156,0.54661328,9.48559935e-02,6.28542517e-02,7.94321457e-02,2.66819171e-02
