epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.19702030,0.18060966,0.10896450,0.09858057,0.19713301,0.10314867,2.33490410e-02,7.04352329e-05,3.40841388e-05,1.63514922e-02
2,0.17483381,0.16204436,0.10437400,0.09483945,0.17572841,0.10248037,6.32158646e-02,2.16388761e-04,5.24941351e-05,5.11516256e-02
3,0.16501379,0.15751889,0.10226048,0.09381070,0.16673032,0.10168605,7.28715586e-02,6.64575099e-04,1.56077309e-04,7.29910658e-02
4,0.16122227,0.15484342,0.10135008,0.09322224,0.16316447,0.10082113,7.63498571e-02,1.18935489e-03,2.68251497e-04,7.97804488e-02
5,0.15850006,0.15257625,0.10061743,0.09255982,0.16056447,0.09990688,7.88177180e-02,1.84111798e-03,4.09591381e-04,8.36183657e-02
6,0.15635147,0.15059521,0.10005562,0.09211359,0.15852504,0.09896356,8.13199191e-02,2.59350411e-03,5.92846185e-04,8.66559332e-02
7,0.15488949,0.14902853,0.09963211,0.09163410,0.15714905,0.09800658,8.30684318e-02,3.45645519e-03,8.26257501e-04,8.87279284e-02
8,0.15358943,0.14817948,0.09929628,0.09152698,0.15593311,0.09708836,8.45373195e-02,4.39352976e-03,1.14321255e-03,9.05456224e-02
9,0.15244569,0.14694166,0.09898658,0.09118714,0.15485474,0.09621214,8.58508683e-02,5.56319431e-03,1.57006613e-03,9.18254592e-02
10,0.15140685,0.14621256,0.09871799,0.09099143,0.15388160,0.09540464,8.78212700e-02,6.81623956e-03,2.17990591e-03,9.28249332e-02
11,0.15048221,0.14552091,0.09847111,0.09084815,0.15300936,0.09467852,8.84271091e-02,8.32107275e-03,2.91283387e-03,9.39149163e-02
12,0.14946366,0.14486995,0.09819932,0.09075591,0.15204053,0.09403976,9.02396377e-02,9.99216809e-03,3.78343352e-03,9.45515596e-02
13,0.14861446,0.14423710,0.09796402,0.09056704,0.15123909,0.09347894,9.14799468e-02,1.19535134e-02,4.72791050e-03,9.54320445e-02
14,0.14762500,0.14348935,0.09773474,0.09040894,0.15029109,0.09297840,9.22520577e-02,1.38786276e-02,5.76165114e-03,9.61675148e-02
15,0.14663057,0.14303122,0.09747014,0.09044673,0.14934225,0.09255384,9.42643277e-02,1.62826431e-02,6.83240115e-03,9.68997156e-02
16,0.14584111,0.14244983,0.09726138,0.09024649,0.14859622,0.09217997,9.48334315e-02,1.88485997e-02,8.06055521e-03,9.77901819e-02
17,0.14503228,0.14200713,0.09705010,0.09022316,0.14781824,0.09185936,9.58335444e-02,2.15688648e-02,9.26490867e-03,9.83582450e-02
18,0.14437818,0.14110634,0.09688483,0.09003699,0.14720407,0.09156554,9.65971271e-02,2.43028775e-02,1.06098001e-02,9.91160394e-02
19,0.14375151,0.14098035,0.09673134,0.09000251,0.14660708,0.09131948,9.73405559e-02,2.75104362e-02,1.19667092e-02,9.94524685e-02
20,0.14309802,0.14076774,0.09654385,0.08998961,0.14598464,0.09110858,9.80838944e-02,3.08467417e-02,1.34587842e-02,9.99124446e-02
21,0.14259836,0.14016856,0.09640359,0.08988134,0.14550883,0.09091688,9.87246243e-02,3.41611714e-02,1.49642875e-02,1.00197993e-01
22,0.14198105,0.13977299,0.09621366,0.08988351,0.14492225,0.09075388,9.94538215e-02,3.80946040e-02,1.66272511e-02,1.00567855e-01
23,0.14146909,0.13921707,0.09606533,0.08978669,0.14443058,0.09060540,9.99967369e-02,4.19281710e-02,1.83425708e-02,1.00673587e-01
24,0.14093931,0.13906068,0.09592057,0.08965816,0.14394100,0.09046854,1.00787444e-01,4.63676299e-02,2.01146321e-02,1.01032636e-01
25,0.14039823,0.13873089,0.09574754,0.08962863,0.14342549,0.09034610,1.01517922e-01,5.04233412e-02,2.20133890e-02,1.00986911e-01
