epoch,train_loss,val_loss,train_rmse,val_rmse,w_d,w_p
84,0.21580451,0.16361785,0.37043526,0.09458337,1.00000000,2.00000000
85,0.21553373,0.16154479,0.37015890,0.09407328,1.00000000,2.00000000
86,0.21531815,0.16173254,0.36982907,0.09431989,1.00000000,2.00000000
87,0.21517133,0.16159109,0.36963961,0.09428929,1.00000000,2.00000000
88,0.21491012,0.16356373,0.36928227,0.09444229,1.00000000,2.00000000
89,0.21468487,0.16254125,0.36908075,0.09436720,1.00000000,2.00000000
90,0.21445380,0.16336350,0.36869173,0.09428272,1.00000000,2.00000000
91,0.21442099,0.16151868,0.36869782,0.09390631,1.00000000,2.00000000
92,0.21418479,0.16312375,0.36833646,0.09434231,1.00000000,2.00000000
93,0.21392647,0.16259684,0.36811281,0.09413429,1.00000000,2.00000000
94,0.21378505,0.16131628,0.36790480,0.09417868,1.00000000,2.00000000
95,0.21366113,0.16274034,0.36769496,0.09432370,1.00000000,2.00000000
96,0.21353753,0.16325521,0.36755183,0.09412713,1.00000000,2.00000000
97,0.21338798,0.16308592,0.36738004,0.09442308,1.00000000,2.00000000
98,0.21320384,0.16249668,0.36703442,0.09426531,1.00000000,2.00000000
99,0.21303041,0.16285358,0.36686287,0.09439919,1.00000000,2.00000000
100,0.21288852,0.16313125,0.36674369,0.09468262,1.00000000,2.00000000
101,0.21259881,0.16293664,0.36634887,0.09432288,1.00000000,2.00000000
102,0.21253800,0.16148856,0.36618288,0.09399970,1.00000000,2.00000000
103,0.21240288,0.16262281,0.36602823,0.09409592,1.00000000,2.00000000
104,0.21229002,0.16377745,0.36586299,0.09447206,1.00000000,2.00000000
105,0.21211703,0.16444311,0.36568728,0.09463544,1.00000000,2.00000000
106,0.21208993,0.16345769,0.36559427,0.09437559,1.00000000,2.00000000
107,0.21173693,0.16206580,0.36525245,0.09408653,1.00000000,2.00000000
108,0.21171688,0.16308715,0.36515953,0.09426550,1.00000000,2.00000000
109,0.21153502,0.16446305,0.36488150,0.09481805,1.00000000,2.00000000
110,0.21143040,0.16336525,0.36478452,0.09450466,1.00000000,2.00000000
111,0.21128926,0.16296833,0.36450726,0.09421147,1.00000000,2.00000000
112,0.21115131,0.16373829,0.36437794,0.09440299,1.00000000,2.00000000
113,0.21112422,0.16336639,0.36428755,0.09448146,1.00000000,2.00000000
114,0.21088512,0.16261936,0.36405642,0.09440492,1.00000000,2.00000000
115,0.21080511,0.16375371,0.36389678,0.09436388,1.00000000,2.00000000
116,0.21070206,0.16266189,0.36372978,0.09440692,1.00000000,2.00000000
117,0.21055782,0.16336285,0.36356357,0.09452874,1.00000000,2.00000000
118,0.21051419,0.16296480,0.36356224,0.09432743,1.00000000,2.00000000
119,0.21044832,0.16318176,0.36335246,0.09430289,1.00000000,2.00000000
120,0.21025618,0.16393131,0.36319538,0.09437344,1.00000000,2.00000000
121,0.21022190,0.16348859,0.36310005,0.09405717,1.00000000,2.00000000
122,0.21005036,0.16360736,0.36289212,0.09404980,1.00000000,2.00000000
123,0.20994051,0.16278869,0.36277111,0.09441635,1.00000000,2.00000000
124,0.20979266,0.16454257,0.36264721,0.09469685,1.00000000,2.00000000
125,0.20980242,0.16311082,0.36259817,0.09420491,1.00000000,2.00000000
126,0.20964612,0.16282128,0.36228614,0.09440532,1.00000000,2.00000000
127,0.20953257,0.16306825,0.36227924,0.09415417,1.00000000,2.00000000
128,0.20948072,0.16394693,0.36206263,0.09478132,1.00000000,2.00000000
129,0.20933583,0.16397998,0.36195022,0.09462047,1.00000000,2.00000000
130,0.20928344,0.16479994,0.36188010,0.09464434,1.00000000,2.00000000
131,0.20926572,0.16304113,0.36183164,0.09441517,1.00000000,2.00000000
132,0.20912759,0.16452268,0.36165754,0.09462719,1.00000000,1.99999413
133,0.20887357,0.16404010,0.36135230,0.09465331,1.00000000,1.99997653
134,0.20884087,0.16250066,0.36132817,0.09401502,1.00000000,1.99994719
135,0.20877663,0.16320640,0.36111761,0.09440230,1.00000000,1.99990612
136,0.20870792,0.16278822,0.36108143,0.09424098,1.00000000,1.99985331
137,0.20863474,0.16323658,0.36095144,0.09448805,1.00000000,1.99978877
138,0.20852151,0.16347103,0.36082522,0.09443603,1.00000000,1.99971249
139,0.20841019,0.16220995,0.36079229,0.09401672,1.00000000,1.99962449
140,0.20835973,0.16338328,0.36060889,0.09444344,1.00000000,1.99952475
141,0.20823274,0.16442201,0.36053157,0.09470548,1.00000000,1.99941329
142,0.20814461,0.16249233,0.36040673,0.09395268,1.00000000,1.99929009
143,0.20808344,0.16340804,0.36028517,0.09414547,1.00000000,1.99915517
144,0.20798440,0.16476926,0.36014102,0.09474396,1.00000000,1.99900853
145,0.20787233,0.16349813,0.35991904,0.09427317,1.00000000,1.99885016
146,0.20781551,0.16348023,0.35991795,0.09396204,1.00000000,1.99868007
147,0.20777080,0.16318075,0.35983540,0.09416220,1.00000000,1.99849827
148,0.20761926,0.16393904,0.35964742,0.09441845,1.00000000,1.99830474
149,0.20749789,0.16459893,0.35951285,0.09449659,1.00000000,1.99809951
150,0.20748951,0.16255160,0.35947150,0.09401238,1.00000000,1.99788256
151,0.20738529,0.16420024,0.35938426,0.09475092,1.00000000,1.99765391
152,0.20733704,0.16317987,0.35938126,0.09423218,1.00000000,1.99741355
153,0.20735572,0.16170568,0.35921607,0.09409356,1.00000000,1.99716149
154,0.20717170,0.16342106,0.35905226,0.09391791,1.00000000,1.99689773
155,0.20709506,0.16307283,0.35893038,0.09402524,1.00000000,1.99662227
156,0.20702485,0.16389964,0.35887034,0.09459081,1.00000000,1.99633513
157,0.20695920,0.16290828,0.35875423,0.09412127,1.00000000,1.99603629
158,0.20682464,0.16325160,0.35858971,0.09423720,1.00000000,1.99572578
159,0.20684957,0.16249488,0.35865535,0.09395270,1.00000000,1.99540358
160,0.20672491,0.16352083,0.35847103,0.09411445,1.00000000,1.99506971
