epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.15398896,0.14306030,0.09920553,0.09042846,0.15625870,8.52297857e-02,6.31742442e-04,1.95214939e-04,8.67315785e-02
2,0.14230944,0.14108813,0.09611103,0.09003825,0.14520445,1.00224020e-01,6.31637990e-04,1.95039156e-04,1.01820386e-01
3,0.13918975,0.13909069,0.09519248,0.08963776,0.14221024,1.05352623e-01,6.31113700e-04,1.95705812e-04,1.03139049e-01
4,0.13707750,0.13796110,0.09455649,0.08939389,0.14014639,1.08777866e-01,6.31755070e-04,1.95780402e-04,1.03106204e-01
5,0.13546455,0.13717014,0.09406199,0.08939733,0.13855894,1.11791354e-01,6.31597724e-04,1.95447583e-04,1.02842506e-01
6,0.13430781,0.13635321,0.09369338,0.08916701,0.13741199,1.13827162e-01,6.31462641e-04,1.95497226e-04,1.02263766e-01
7,0.13319592,0.13474187,0.09333722,0.08874460,0.13632358,1.15581177e-01,6.31447744e-04,1.95876519e-04,1.02110232e-01
8,0.13236833,0.13515544,0.09307047,0.08902629,0.13551216,1.17312381e-01,6.31426764e-04,1.95318424e-04,1.01942522e-01
9,0.13163901,0.13476079,0.09283121,0.08909497,0.13479596,1.18236349e-01,6.31590274e-04,1.95315010e-04,1.01870382e-01
10,0.13118248,0.13455283,0.09268335,0.08883801,0.13435437,1.19351147e-01,6.31476048e-04,1.95151543e-04,1.01710325e-01
11,0.13075616,0.13430637,0.09255303,0.08887060,0.13393341,1.19529990e-01,6.31420784e-04,1.95722100e-04,1.01890063e-01
12,0.13038001,0.13401926,0.09243127,0.08874735,0.13357100,1.20374016e-01,6.31303437e-04,1.94814933e-04,1.01687908e-01
13,0.13019349,0.13408310,0.09236110,0.08880370,0.13339021,1.20558263e-01,6.31601023e-04,1.95585668e-04,1.01972277e-01
14,0.13017195,0.13402514,0.09235782,0.08879591,0.13336293,1.20393917e-01,6.31090303e-04,1.95422183e-04,1.01978268e-01
15,0.13008423,0.13397560,0.09232261,0.08877039,0.13328849,1.20917600e-01,6.30988163e-04,1.95640562e-04,1.01780432e-01
16,0.11656876,0.11608369,0.08791191,0.08240435,0.11986380,1.23802684e-01,1.44807018e-01,6.65422963e-02,7.41318405e-02
17,0.10916394,0.11407810,0.08539448,0.08142073,0.11279749,1.28028332e-01,1.61072498e-01,9.15947650e-02,6.26894516e-02
18,0.10586839,0.11365159,0.08420768,0.08119299,0.10971188,1.31791899e-01,1.67648669e-01,9.75092542e-02,5.99517455e-02
19,0.10383193,0.11244438,0.08342049,0.08084923,0.10781479,1.34533388e-01,1.69801764e-01,1.00736677e-01,5.85701111e-02
20,0.10222260,0.11228930,0.08283151,0.08093625,0.10630185,1.36627113e-01,1.71610249e-01,1.02769648e-01,5.78145716e-02
21,0.10079226,0.11212137,0.08223291,0.08072267,0.10495898,1.38362413e-01,1.74314879e-01,1.04204302e-01,5.75695006e-02
22,0.09982924,0.11173975,0.08184028,0.08088231,0.10405453,1.39688744e-01,1.75659722e-01,1.04939496e-01,5.76481355e-02
23,0.09891722,0.11226544,0.08147293,0.08061384,0.10318890,1.40732863e-01,1.76504210e-01,1.05789110e-01,5.74326775e-02
24,0.09827122,0.11272449,0.08121437,0.08079445,0.10258491,1.41595009e-01,1.78460283e-01,1.06365345e-01,5.77014388e-02
25,0.09778611,0.11258311,0.08103155,0.08069997,0.10212209,1.42118160e-01,1.78422087e-01,1.06420706e-01,5.79683833e-02
26,0.09730412,0.11246683,0.08082167,0.08077312,0.10165547,1.42586401e-01,1.77460994e-01,1.06873747e-01,5.77123587e-02
27,0.09714348,0.11270021,0.08074645,0.08082345,0.10151152,1.42927296e-01,1.78829207e-01,1.06969133e-01,5.76972942e-02
28,0.09689227,0.11271280,0.08063278,0.08077032,0.10127415,1.43207148e-01,1.79579287e-01,1.07027604e-01,5.75546772e-02
29,0.09675050,0.11246362,0.08059296,0.08071553,0.10113706,1.43360226e-01,1.78992035e-01,1.07260940e-01,5.75226968e-02
30,0.09673138,0.11245813,0.08057453,0.08067740,0.10111732,1.43307952e-01,1.79267014e-01,1.07170225e-01,5.76996338e-02
31,0.09667838,0.11384417,0.08053790,0.08112601,0.10110371,1.43831723e-01,1.79514381e-01,1.07742912e-01,5.79443358e-02
32,0.09579761,0.11277119,0.08021019,0.08070099,0.10027112,1.45255519e-01,1.80179556e-01,1.08246502e-01,5.78430353e-02
33,0.09491805,0.11458229,0.07985212,0.08105854,0.09944519,1.46496227e-01,1.80907923e-01,1.08730336e-01,5.79821306e-02
34,0.09414294,0.11425704,0.07950177,0.08118493,0.09871946,1.47747608e-01,1.81201736e-01,1.09136999e-01,5.77392402e-02
35,0.09342787,0.11521278,0.07922865,0.08101407,0.09804859,1.48595379e-01,1.83135128e-01,1.09503872e-01,5.78772576e-02
36,0.09274419,0.11527137,0.07895489,0.08102602,0.09740477,1.49260705e-01,1.82850436e-01,1.09942046e-01,5.77858356e-02
37,0.09223840,0.11595493,0.07872364,0.08099886,0.09692770,1.49898053e-01,1.83397864e-01,1.10244155e-01,5.78656454e-02
38,0.09176124,0.11585877,0.07852751,0.08114283,0.09648138,1.50621970e-01,1.83172549e-01,1.10543650e-01,5.76908790e-02
39,0.09134151,0.11638439,0.07837659,0.08111773,0.09608547,1.51460632e-01,1.83803729e-01,1.10536354e-01,5.76854654e-02
40,0.09093302,0.11640398,0.07818362,0.08123710,0.09569861,1.51755266e-01,1.84395643e-01,1.10926156e-01,5.76227476e-02
41,0.09072831,0.11677305,0.07812072,0.08119638,0.09550213,1.51842649e-01,1.84197593e-01,1.10872098e-01,5.78294124e-02
42,0.09063053,0.11670393,0.07808296,0.08129616,0.09540598,1.51840614e-01,1.84515948e-01,1.10958158e-01,5.76566997e-02
43,0.09041359,0.11649976,0.07797889,0.08112344,0.09521428,1.52417691e-01,1.84507192e-01,1.11336808e-01,5.73862780e-02
44,0.09047929,0.11641812,0.07799725,0.08104644,0.09526290,1.52083826e-01,1.84752606e-01,1.11135883e-01,5.73179909e-02
45,0.09026340,0.11649521,0.07793340,0.08109541,0.09506523,1.52299618e-01,1.85075849e-01,1.11310159e-01,5.75446865e-02
46,0.09055904,0.11841329,0.07803034,0.08185364,0.09535640,1.52368588e-01,1.85407404e-01,1.11186366e-01,5.79102103e-02
47,0.08996259,0.11817709,0.07776721,0.08141426,0.09479460,1.53037608e-01,1.86201701e-01,1.11489173e-01,5.78204190e-02
48,0.08941056,0.11872926,0.07758415,0.08154740,0.09429150,1.53939885e-01,1.86749369e-01,1.11567234e-01,5.75529280e-02
49,0.08890839,0.11823088,0.07733010,0.08144470,0.09381053,1.54456810e-01,1.86524918e-01,1.11954207e-01,5.74234035e-02
50,0.08845055,0.11949404,0.07715615,0.08142817,0.09338260,1.55162918e-01,1.86647418e-01,1.12309841e-01,5.73496639e-02
51,0.08793768,0.11871237,0.07690274,0.08145045,0.09288580,1.55613156e-01,1.87795655e-01,1.12123280e-01,5.71612087e-02
52,0.08748790,0.11952091,0.07673277,0.08142159,0.09248467,1.56358715e-01,1.88734350e-01,1.12516828e-01,5.72085898e-02
53,0.08719812,0.12025234,0.07658572,0.08164352,0.09217218,1.56286404e-01,1.88037278e-01,1.12414477e-01,5.69986659e-02
54,0.08699184,0.11959584,0.07649499,0.08143752,0.09200535,1.56971101e-01,1.90174863e-01,1.12500983e-01,5.70242234e-02
55,0.08667356,0.12004498,0.07639065,0.08145585,0.09168627,1.57018823e-01,1.88496740e-01,1.12652687e-01,5.70099330e-02
56,0.08631818,0.11994741,0.07623668,0.08135107,0.09134195,1.57231527e-01,1.88709865e-01,1.12614976e-01,5.70534735e-02
57,0.08614332,0.12012009,0.07611870,0.08141659,0.09118816,1.57751251e-01,1.89595958e-01,1.12792904e-01,5.68683288e-02
58,0.08626139,0.12026931,0.07622006,0.08151843,0.09130194,1.57536091e-01,1.89529938e-01,1.12597303e-01,5.67930630e-02
59,0.08608159,0.12004664,0.07609757,0.08144829,0.09112386,1.57750355e-01,1.89634106e-01,1.12636319e-01,5.69369410e-02
60,0.08599350,0.11998284,0.07608896,0.08140255,0.09103174,1.57584199e-01,1.89556606e-01,1.12644639e-01,5.70887512e-02
61,0.08628548,0.12074634,0.07621727,0.08159536,0.09134158,1.57735842e-01,1.90585314e-01,1.12657373e-01,5.70348897e-02
62,0.08587538,0.12075744,0.07606379,0.08127903,0.09094476,1.58462493e-01,1.89790911e-01,1.12945050e-01,5.68008703e-02
63,0.08556751,0.12023218,0.07588584,0.08135816,0.09066103,1.58636973e-01,1.91467306e-01,1.12849609e-01,5.68232040e-02
64,0.08500242,0.12341919,0.07568853,0.08201700,0.09011800,1.59436415e-01,1.91453751e-01,1.12801538e-01,5.68055581e-02
65,0.08469517,0.12188546,0.07553288,0.08171012,0.08981533,1.59674830e-01,1.92385342e-01,1.12850204e-01,5.66055339e-02
66,0.08429978,0.12256250,0.07535198,0.08189514,0.08944771,1.60259934e-01,1.91602324e-01,1.13004555e-01,5.67825639e-02
67,0.08400553,0.12285311,0.07523268,0.08178541,0.08917056,1.60684183e-01,1.92543465e-01,1.12970281e-01,5.65731006e-02
68,0.08369142,0.12269834,0.07510763,0.08184407,0.08887727,1.61081751e-01,1.93114440e-01,1.13095482e-01,5.62234381e-02
69,0.08340676,0.12277559,0.07496817,0.08174540,0.08858540,1.61296415e-01,1.93358613e-01,1.12951534e-01,5.62055420e-02
70,0.08314392,0.12244368,0.07486421,0.08182731,0.08833718,1.61558621e-01,1.93312547e-01,1.13140599e-01,5.63440405e-02
71,0.08313734,0.12258071,0.07485213,0.08179235,0.08834066,1.61895833e-01,1.93156465e-01,1.13132963e-01,5.61357879e-02
72,0.08302394,0.12230429,0.07481925,0.08167077,0.08822068,1.61684064e-01,1.92844501e-01,1.13201515e-01,5.62898192e-02
73,0.08283058,0.12230557,0.07473282,0.08168181,0.08803091,1.61644967e-01,1.93924150e-01,1.13098671e-01,5.61870800e-02
