epoch,train_loss,val_loss,train_rmse,val_rmse,w_d,w_p
1,0.99192530,0.30323483,0.90249132,0.13200860,1.00000000,0.00000000
2,0.24780992,0.20658836,0.45587710,0.10565237,1.00000000,0.04000000
3,0.19783439,0.19412488,0.40379046,0.10130954,1.00000000,0.08000000
4,0.18119458,0.18928357,0.38096731,0.09891014,1.00000000,0.12000000
5,0.17319657,0.18572019,0.36691981,0.09722986,1.00000000,0.16000000
6,0.16873762,0.17749192,0.35715672,0.09483928,1.00000000,0.20000000
7,0.16604984,0.17199067,0.34968498,0.09343257,1.00000000,0.24000000
8,0.16461403,0.17097734,0.34434501,0.09292651,1.00000000,0.28000000
9,0.16396325,0.16906149,0.34021709,0.09290051,1.00000000,0.32000000
10,0.16363237,0.16667793,0.33690377,0.09211564,1.00000000,0.36000000
11,0.16394042,0.16549184,0.33468165,0.09207566,1.00000000,0.40000000
12,0.16407387,0.16449226,0.33252233,0.09157891,1.00000000,0.44000000
13,0.16439458,0.16149835,0.33087092,0.09095535,1.00000000,0.48000000
14,0.16504675,0.16185292,0.32985230,0.09123325,1.00000000,0.52000000
15,0.16567828,0.16266826,0.32894285,0.09142377,1.00000000,0.56000000
16,0.16631569,0.16019253,0.32826118,0.09071717,1.00000000,0.60000000
17,0.16686955,0.16126263,0.32756326,0.09107462,1.00000000,0.64000000
18,0.16753853,0.15907157,0.32718617,0.09069771,1.00000000,0.68000000
19,0.16798980,0.15892799,0.32670346,0.09046448,1.00000000,0.72000000
20,0.16870538,0.15989158,0.32655742,0.09138252,1.00000000,0.76000000
21,0.16939583,0.15696634,0.32663334,0.09052943,1.00000000,0.80000000
22,0.17006830,0.15849011,0.32672258,0.09065944,1.00000000,0.84000000
23,0.17085847,0.15889809,0.32701310,0.09086528,1.00000000,0.88000000
24,0.17165857,0.15797099,0.32730150,0.09062992,1.00000000,0.92000000
25,0.17242714,0.15674701,0.32762043,0.09024836,1.00000000,0.96000000
26,0.17336051,0.15587064,0.32839315,0.08995373,1.00000000,1.00000000
27,0.17418593,0.15615545,0.32891242,0.09013165,1.00000000,1.04000000
28,0.17499251,0.15676975,0.32949300,0.09004240,1.00000000,1.08000000
29,0.17592032,0.15703635,0.33024861,0.09018769,1.00000000,1.12000000
30,0.17675342,0.15683645,0.33092888,0.08999272,1.00000000,1.16000000
31,0.17775211,0.15728662,0.33186997,0.09054420,1.00000000,1.20000000
32,0.17691830,0.15733698,0.33056784,0.09035177,1.00000000,1.20000000
33,0.17610968,0.15636830,0.32933095,0.09018056,1.00000000,1.20000000
34,0.17554872,0.15741897,0.32824680,0.09058731,1.00000000,1.20000000
35,0.17488229,0.15732789,0.32716092,0.09028275,1.00000000,1.20000000
36,0.17409541,0.15611562,0.32578393,0.09021485,1.00000000,1.20000000
37,0.17351532,0.15720901,0.32466189,0.09020081,1.00000000,1.20000000
38,0.17292935,0.15588922,0.32368777,0.08995240,1.00000000,1.20000000
39,0.17218943,0.15828820,0.32239697,0.09033370,1.00000000,1.20000000
40,0.17165413,0.15641424,0.32153668,0.09020863,1.00000000,1.20000000
41,0.17119810,0.15668450,0.32056416,0.09066179,1.00000000,1.20000000
42,0.17058279,0.15538382,0.31956849,0.09027469,1.00000000,1.20000000
43,0.17005898,0.15707372,0.31861988,0.09005740,1.00000000,1.20000000
44,0.16958889,0.15728808,0.31779517,0.09072257,1.00000000,1.20000000
45,0.16911542,0.15561814,0.31696407,0.08998464,1.00000000,1.20000000
46,0.16874521,0.15765150,0.31623770,0.09095359,1.00000000,1.20000000
47,0.16831715,0.15779320,0.31549061,0.09048258,1.00000000,1.20000000
48,0.16785296,0.15836832,0.31459105,0.09026365,1.00000000,1.20000000
49,0.16747451,0.16075196,0.31388272,0.09086439,1.00000000,1.20000000
50,0.16695085,0.15759390,0.31299888,0.09058355,1.00000000,1.20000000
51,0.16653291,0.15676582,0.31219937,0.09059087,1.00000000,1.20000000
52,0.16624121,0.15645628,0.31169303,0.09073581,1.00000000,1.20000000
53,0.16578822,0.15898865,0.31079461,0.09095770,1.00000000,1.20000000
54,0.16555901,0.15933879,0.31042775,0.09101585,1.00000000,1.20000000
55,0.16516415,0.15884898,0.30971502,0.09047714,1.00000000,1.20000000
56,0.16478294,0.15894072,0.30900288,0.09086280,1.00000000,1.20000000
57,0.16441747,0.15677306,0.30843391,0.09057366,1.00000000,1.20000000
58,0.16413618,0.15834813,0.30785960,0.09024873,1.00000000,1.20000000
59,0.16393252,0.15763662,0.30745387,0.09102804,1.00000000,1.20000000
60,0.16358185,0.15905171,0.30687171,0.09152179,1.00000000,1.20000000
61,0.16327773,0.15870139,0.30622984,0.09097281,1.00000000,1.20000000
62,0.16298941,0.15780869,0.30580727,0.09087973,1.00000000,1.20000000
63,0.16285438,0.15874368,0.30549646,0.09089219,1.00000000,1.20000000
64,0.16247388,0.15834058,0.30480261,0.09106784,1.00000000,1.20000000
65,0.16234334,0.15810005,0.30462805,0.09073472,1.00000000,1.20000000
66,0.16207894,0.15813913,0.30405285,0.09116475,1.00000000,1.20000000
67,0.16191222,0.15812951,0.30375107,0.09104954,1.00000000,1.20000000
68,0.16170847,0.15745837,0.30335417,0.09108994,1.00000000,1.20000000
69,0.16151723,0.15789184,0.30300807,0.09133747,1.00000000,1.20000000
70,0.16135541,0.15733257,0.30274134,0.09056866,1.00000000,1.20000000
71,0.16102941,0.15988767,0.30221968,0.09140305,1.00000000,1.20000000
72,0.16089139,0.15893994,0.30178944,0.09122016,1.00000000,1.20000000
73,0.16079228,0.15967909,0.30173069,0.09143287,1.00000000,1.20000000
74,0.16057671,0.16022614,0.30122273,0.09168005,1.00000000,1.20000000
75,0.16050081,0.15817749,0.30113339,0.09036128,1.00000000,1.20000000
76,0.16024239,0.15852558,0.30061133,0.09133768,1.00000000,1.20000000
77,0.16013376,0.16047588,0.30047117,0.09144670,1.00000000,1.20000000
78,0.15997745,0.15741780,0.30016106,0.09096485,1.00000000,1.20000000
79,0.15982623,0.16013809,0.29984983,0.09128794,1.00000000,1.20000000
80,0.15964875,0.15995961,0.29956240,0.09149529,1.00000000,1.20000000
81,0.15962047,0.15784018,0.29946908,0.09144207,1.00000000,1.20000000
82,0.15940636,0.15932763,0.29907592,0.09132602,1.00000000,1.19999942
83,0.15939328,0.15631809,0.29906992,0.09095561,1.00000000,1.19999767
84,0.15918355,0.15931696,0.29866395,0.09134323,1.00000000,1.19999475
85,0.15902836,0.15819829,0.29838517,0.09130265,1.00000000,1.19999067
86,0.15896101,0.15923576,0.29824124,0.09124732,1.00000000,1.19998542
87,0.15885566,0.15893201,0.29804460,0.09136395,1.00000000,1.19997901
88,0.15879902,0.16080610,0.29788068,0.09196528,1.00000000,1.19997143
89,0.15857104,0.15925596,0.29754913,0.09121082,1.00000000,1.19996269
90,0.15847560,0.15877176,0.29730199,0.09110537,1.00000000,1.19995278
91,0.15842845,0.15870048,0.29721632,0.09127840,1.00000000,1.19994170
92,0.15835300,0.15967731,0.29712717,0.09167444,1.00000000,1.19992946
93,0.15819279,0.15911961,0.29679767,0.09127832,1.00000000,1.19991605
94,0.15817099,0.15912811,0.29670867,0.09120042,1.00000000,1.19990148
95,0.15809956,0.16052926,0.29660603,0.09173862,1.00000000,1.19988575
96,0.15797131,0.15960768,0.29632799,0.09140794,1.00000000,1.19986885
97,0.15792485,0.16086891,0.29624610,0.09177339,1.00000000,1.19985078
98,0.15781663,0.16104507,0.29602793,0.09147708,1.00000000,1.19983155
99,0.15771311,0.15988454,0.29583011,0.09117023,1.00000000,1.19981116
100,0.15766792,0.15952355,0.29575937,0.09175066,1.00000000,1.19978960
101,0.15756442,0.15806334,0.29554343,0.09103187,1.00000000,1.19976688
102,0.15748168,0.15918738,0.29546889,0.09131332,1.00000000,1.19974299
103,0.15736990,0.15926097,0.29518403,0.09168540,1.00000000,1.19971794
104,0.15740323,0.16087025,0.29526713,0.09146078,1.00000000,1.19969173
105,0.15720172,0.16214599,0.29487442,0.09216359,1.00000000,1.19966436
106,0.15715117,0.16204106,0.29480954,0.09179260,1.00000000,1.19963582
107,0.15708383,0.15924691,0.29466550,0.09124038,1.00000000,1.19960613
108,0.15699645,0.15916776,0.29450505,0.09121883,1.00000000,1.19957527
109,0.15697375,0.16080052,0.29442058,0.09187997,1.00000000,1.19954325
110,0.15687724,0.16076304,0.29431193,0.09194064,1.00000000,1.19951007
111,0.15687036,0.15942425,0.29424932,0.09150490,1.00000000,1.19947573
112,0.15674923,0.16136520,0.29398024,0.09207647,1.00000000,1.19944023
113,0.15674832,0.16114186,0.29402278,0.09191115,1.00000000,1.19940357
114,0.15657964,0.16017078,0.29371166,0.09235055,1.00000000,1.19936575
115,0.15652805,0.16181355,0.29359561,0.09190337,1.00000000,1.19932677
116,0.15659614,0.15811012,0.29369880,0.09124319,1.00000000,1.19928663
117,0.15647951,0.15962274,0.29346041,0.09152983,1.00000000,1.19924534
118,0.15644359,0.15976295,0.29343989,0.09174062,1.00000000,1.19920289
119,0.15636261,0.16040025,0.29326188,0.09163284,1.00000000,1.19915928
120,0.15634427,0.16260311,0.29320281,0.09229728,1.00000000,1.19911451
121,0.15627772,0.15973426,0.29307171,0.09177455,1.00000000,1.19906859
122,0.15618944,0.16120271,0.29292851,0.09199499,1.00000000,1.19902152
123,0.15609008,0.16025914,0.29276445,0.09198043,1.00000000,1.19897329
124,0.15608125,0.16070658,0.29274561,0.09183316,1.00000000,1.19892391
125,0.15604303,0.15952311,0.29264646,0.09178975,1.00000000,1.19887337
126,0.15598137,0.16276068,0.29253603,0.09176801,1.00000000,1.19882168
127,0.15592392,0.15951702,0.29244056,0.09175300,1.00000000,1.19876883
128,0.15591294,0.15898889,0.29239221,0.09176033,1.00000000,1.19871484
129,0.15583607,0.16066814,0.29225601,0.09193488,1.00000000,1.19865969
130,0.15582786,0.16052957,0.29227231,0.09198073,1.00000000,1.19860340
131,0.15573977,0.16138748,0.29210620,0.09198148,1.00000000,1.19854595
132,0.15569856,0.15897495,0.29197470,0.09167877,1.00000000,1.19848736
133,0.15568344,0.16046924,0.29195290,0.09184011,1.00000000,1.19842761
134,0.15557247,0.16142439,0.29176125,0.09238507,1.00000000,1.19836672
135,0.15561421,0.16236743,0.29183177,0.09195679,1.00000000,1.19830468
136,0.15553273,0.16186446,0.29165973,0.09220682,1.00000000,1.19824150
137,0.15547491,0.16181993,0.29160487,0.09195834,1.00000000,1.19817717
