n,arch,status,test_rmse,elapsed_sec,activation,batch_size,coriolis_hidden,coriolis_matrix_form,coriolis_structural,correction_dropout,correction_gain_ramp_frac,correction_reg_inertia_normalize,data_train_fraction,data_train_seed,dropout,early_stop_metric,early_stopping,ema_decay,enable_passivity_loss,epochs,feature_noise_std,friction_form,friction_hidden,grad_clip_norm,gravity_hidden,hidden_layers,inertia_hidden,inertia_psd,joint_loss_weights,lambda_correction_decay,lambda_correction_reg,lambda_correction_reg_per_component,lambda_passivity,learning_rate,lr_scheduler,min_delta,optimizer,patience,phi_lr_ratio,physics_warmup_fraction,physics_weight,print_every,seed,snapshot_every,spectral_norm,stride,torch_compile,torch_compile_mode,use_friction_qdd,use_phys_cond,warmup_cosine_min_factor,weight_decay
20,fnn,ok,0.116725,0.0,silu,512,,,,,,,0.1,42,0.5,val_rmse,True,,,1500,0.02,,,5.0,,128-256-128,,,,,,,,0.0003,warmup_cosine,1e-05,adamw,50,,,,,42,0,,1,True,reduce-overhead,,,,0.0001
21,physreg,ok,0.094006,0.0,silu,512,,,,,,,0.7,42,0.3,val_rmse,True,,,1500,0.02,,,5.0,,512-512-512,,,,,,,,0.0003,warmup_cosine,1e-05,adamw,50,0.1,0.05,1.0,,42,0,,1,True,reduce-overhead,,,,0.005
22,physreg,ok,0.093059,0.0,silu,512,,,,,,,0.8,42,0.3,val_rmse,True,,,1500,0.02,,,5.0,,512-512-512,,,,,,,,0.0003,warmup_cosine,1e-05,adamw,50,0.1,0.05,1.0,,42,0,,1,True,reduce-overhead,,,,0.005
23,physreg,ok,0.08455,0.0,silu,512,,,,,,,1.0,42,0.3,val_rmse,True,,,1500,0.02,,,5.0,,512-512-512,,,,,,,,0.0003,warmup_cosine,1e-05,adamw,50,0.1,0.05,1.0,,42,0,,1,True,reduce-overhead,,,,0.005
24,physreg,ok,0.094029,0.0,silu,512,,,,,,,0.6,42,0.3,val_rmse,True,,,1500,0.02,,,5.0,,512-512-512,,,,,,,,0.0003,warmup_cosine,1e-05,adamw,50,0.1,0.05,1.0,,42,0,,1,True,reduce-overhead,,,,0.005
25,physreg,ok,0.094383,0.0,silu,512,,,,,,,0.5,42,0.3,val_rmse,True,,,1500,0.02,,,5.0,,512-512-512,,,,,,,,0.0003,warmup_cosine,1e-05,adamw,50,0.1,0.05,1.0,,42,0,,1,True,reduce-overhead,,,,0.005
26,physreg,ok,0.084958,0.0,silu,512,,,,,,,0.9,42,0.3,val_rmse,True,,,1500,0.02,,,5.0,,512-512-512,,,,,,,,0.0003,warmup_cosine,1e-05,adamw,50,0.1,0.05,1.0,,42,0,,1,True,reduce-overhead,,,,0.005
27,physreg,ok,0.1082,0.0,silu,512,,,,,,,0.1,42,0.3,val_rmse,True,,,1500,0.02,,,5.0,,512-512-512,,,,,,,,0.0003,warmup_cosine,1e-05,adamw,50,0.1,0.05,1.0,,42,0,,1,True,reduce-overhead,,,,0.005
28,physreg,ok,0.09951,0.0,silu,512,,,,,,,0.2,42,0.3,val_rmse,True,,,1500,0.02,,,5.0,,512-512-512,,,,,,,,0.0003,warmup_cosine,1e-05,adamw,50,0.1,0.05,1.0,,42,0,,1,True,reduce-overhead,,,,0.005
29,physreg,ok,0.098171,0.0,silu,512,,,,,,,0.4,42,0.3,val_rmse,True,,,1500,0.02,,,5.0,,512-512-512,,,,,,,,0.0003,warmup_cosine,1e-05,adamw,50,0.1,0.05,1.0,,42,0,,1,True,reduce-overhead,,,,0.005
30,physreg,ok,0.099032,0.0,silu,512,,,,,,,0.3,42,0.3,val_rmse,True,,,1500,0.02,,,5.0,,512-512-512,,,,,,,,0.0003,warmup_cosine,1e-05,adamw,50,0.1,0.05,1.0,,42,0,,1,True,reduce-overhead,,,,0.005
