epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
42,0.14789068,0.14120312,0.09779812,0.09004056,0.15133883,0.09099477,9.25182696e-02,1.29261780e-01,6.42731568e-02,9.59440814e-02
43,0.14733833,0.14101112,0.09760838,0.09008069,0.15083923,0.09090857,9.05705756e-02,1.38209755e-01,6.62842987e-02,9.61198821e-02
44,0.14673634,0.14044416,0.09746205,0.08991979,0.15034160,0.09081725,9.26541286e-02,1.43380028e-01,6.93646844e-02,9.64778587e-02
45,0.14617294,0.14006414,0.09729874,0.08974104,0.14988438,0.09071695,9.26509395e-02,1.47750499e-01,7.20789556e-02,9.68113285e-02
46,0.14555557,0.13956957,0.09712167,0.08969104,0.14936821,0.09062111,9.32301094e-02,1.54860996e-01,7.45797835e-02,9.72917988e-02
47,0.14517157,0.13961248,0.09707820,0.08963765,0.14907726,0.09052924,9.30238119e-02,1.64037375e-01,7.71496985e-02,9.73569676e-02
48,0.14495588,0.13908191,0.09698443,0.08954664,0.14895222,0.09043781,9.42035774e-02,1.66723650e-01,8.01687993e-02,9.72970976e-02
49,0.14445194,0.13899849,0.09684761,0.08944723,0.14855541,0.09034466,9.37549609e-02,1.73738364e-01,8.27402954e-02,9.80526353e-02
50,0.14368766,0.13818914,0.09663487,0.08932676,0.14791483,0.09025135,9.48460661e-02,1.82014057e-01,8.51290238e-02,9.76227031e-02
51,0.14332772,0.13802091,0.09650295,0.08915566,0.14766992,0.09014795,9.47395971e-02,1.85261995e-01,8.92483811e-02,9.82543458e-02
52,0.14302924,0.13744363,0.09645670,0.08911624,0.14746352,0.09005193,9.51534582e-02,1.92353372e-01,9.14649973e-02,9.82548899e-02
53,0.14211809,0.13727362,0.09616745,0.08904401,0.14671531,0.08995711,9.61030128e-02,1.99769170e-01,9.44219760e-02,9.81123836e-02
54,0.14219344,0.13686314,0.09621222,0.08883762,0.14684069,0.08985326,9.51209469e-02,2.00992275e-01,9.64427886e-02,9.81203839e-02
55,0.14137820,0.13631178,0.09599654,0.08868690,0.14617530,0.08974273,9.61084508e-02,2.10268023e-01,9.92119168e-02,9.81688835e-02
56,0.14076531,0.13595891,0.09576073,0.08862831,0.14570790,0.08963963,9.64150825e-02,2.16418616e-01,1.02638313e-01,9.85207106e-02
57,0.14080696,0.13563014,0.09578462,0.08856173,0.14584252,0.08954209,9.68532737e-02,2.21721523e-01,1.05027179e-01,9.83017064e-02
58,0.13977447,0.13525367,0.09548501,0.08845462,0.14497544,0.08944194,9.67638607e-02,2.26693348e-01,1.08829851e-01,9.82856238e-02
59,0.13966261,0.13482785,0.09548064,0.08817497,0.14500086,0.08932330,9.72343376e-02,2.36621717e-01,1.11023303e-01,9.85560161e-02
60,0.13927378,0.13463355,0.09532157,0.08811304,0.14472706,0.08921145,9.75212175e-02,2.38891909e-01,1.13416996e-01,9.86061345e-02
61,0.13842482,0.13398855,0.09511145,0.08798194,0.14399984,0.08909973,9.79814690e-02,2.47899384e-01,1.15552320e-01,9.81485804e-02
62,0.13808677,0.13369638,0.09499718,0.08795117,0.14378291,0.08899333,9.72877285e-02,2.48507935e-01,1.18815416e-01,9.84162625e-02
63,0.13765185,0.13283882,0.09489493,0.08766069,0.14351136,0.08887106,9.80615173e-02,2.53552587e-01,1.21885604e-01,9.83121188e-02
64,0.13711553,0.13266679,0.09474007,0.08763629,0.14308533,0.08875647,9.79257503e-02,2.58982067e-01,1.24200112e-01,9.84134933e-02
65,0.13655231,0.13223702,0.09455897,0.08741805,0.14267496,0.08863371,9.88033039e-02,2.67872669e-01,1.26911678e-01,9.82743264e-02
66,0.13622338,0.13251268,0.09447398,0.08749329,0.14246970,0.08852754,9.97219277e-02,2.70003349e-01,1.29035271e-01,9.76640605e-02
67,0.13581832,0.13181754,0.09431133,0.08721719,0.14219492,0.08840702,9.84188321e-02,2.71050970e-01,1.32308912e-01,9.76898624e-02
68,0.13514423,0.13078774,0.09411212,0.08706835,0.14158861,0.08828437,9.99172558e-02,2.76483641e-01,1.32985801e-01,9.75378773e-02
69,0.13474254,0.13066723,0.09403147,0.08689348,0.14136221,0.08815632,9.94352698e-02,2.84253121e-01,1.36388722e-01,9.73476826e-02
70,0.13424305,0.13074720,0.09390000,0.08699157,0.14094704,0.08804715,9.88675905e-02,2.85660381e-01,1.38220306e-01,9.73041162e-02
71,0.13366597,0.12965913,0.09369542,0.08667214,0.14049300,0.08791765,1.00365411e-01,2.88500201e-01,1.39874150e-01,9.75497449e-02
72,0.13334670,0.12934902,0.09356038,0.08645238,0.14029289,0.08778000,1.00373278e-01,2.92012156e-01,1.42718676e-01,9.69813433e-02
73,0.13296649,0.12907937,0.09347518,0.08640313,0.14004381,0.08764952,1.00102125e-01,3.00641541e-01,1.44266399e-01,9.69979987e-02
74,0.13260809,0.12876814,0.09333996,0.08628539,0.13981003,0.08752175,9.93960623e-02,3.01519378e-01,1.47465602e-01,9.71271431e-02
75,0.13180403,0.12817919,0.09308189,0.08620207,0.13911203,0.08739667,1.00750466e-01,3.03678230e-01,1.48534595e-01,9.72969097e-02
76,0.13147803,0.12770991,0.09298145,0.08606012,0.13888966,0.08726939,1.00895635e-01,3.09288667e-01,1.50070043e-01,9.66393563e-02
77,0.13089550,0.12731164,0.09286635,0.08586259,0.13836537,0.08713477,1.01367078e-01,3.09859413e-01,1.51241010e-01,9.65716292e-02
78,0.13060643,0.12709305,0.09269427,0.08585280,0.13820607,0.08701100,1.01509111e-01,3.14958057e-01,1.53401833e-01,9.60902022e-02
79,0.12993608,0.12707529,0.09259254,0.08583481,0.13760504,0.08689490,1.00811735e-01,3.13324256e-01,1.55712277e-01,9.63161138e-02
80,0.12978771,0.12617153,0.09250483,0.08548616,0.13747515,0.08675906,1.01521741e-01,3.13908523e-01,1.55988334e-01,9.55827292e-02
81,0.12912020,0.12579554,0.09228305,0.08543320,0.13703707,0.08663156,1.02102515e-01,3.27512173e-01,1.58608221e-01,9.56537705e-02
82,0.12891737,0.12546750,0.09219813,0.08525831,0.13679677,0.08650048,1.00738348e-01,3.23207044e-01,1.58379456e-01,9.63256424e-02
83,0.12826616,0.12492617,0.09203997,0.08520576,0.13624767,0.08637367,1.01919194e-01,3.26851489e-01,1.60267703e-01,9.57579964e-02
84,0.12820511,0.12478819,0.09199088,0.08504933,0.13623118,0.08624559,1.01898214e-01,3.24553971e-01,1.61312168e-01,9.52012509e-02
85,0.12773266,0.12410904,0.09184304,0.08491568,0.13580165,0.08611621,1.01822679e-01,3.28661489e-01,1.62327126e-01,9.52728479e-02
86,0.12714984,0.12388086,0.09170646,0.08484602,0.13538997,0.08598946,1.01774890e-01,3.29776899e-01,1.65016594e-01,9.53956861e-02
87,0.12685166,0.12360630,0.09163834,0.08472663,0.13506782,0.08586422,1.02029247e-01,3.33410983e-01,1.64034112e-01,9.50792236e-02
88,0.12609559,0.12285864,0.09139633,0.08445621,0.13433581,0.08572349,1.02130503e-01,3.31859934e-01,1.65001303e-01,9.45655454e-02
89,0.12601490,0.12275437,0.09139130,0.08456017,0.13427164,0.08560831,1.03322417e-01,3.29005108e-01,1.65038726e-01,9.47519918e-02
90,0.12550838,0.12261953,0.09113433,0.08442769,0.13381854,0.08548952,1.02844623e-01,3.33525616e-01,1.66985258e-01,9.43219166e-02
