epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,test_rmse,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
39,0.11786010,0.12260159,0.08942672,0.08412217,0.11947261,0.09104976,0.08454370,1.08571497e-01,3.12988632e-01,1.89651502e-01,7.59284580e-02
40,0.11761108,0.12265504,0.08932874,0.08416659,0.11914537,0.09109516,0.08447166,1.09699915e-01,3.07529385e-01,1.84035730e-01,7.45728923e-02
41,0.11797108,0.12236559,0.08948973,0.08409003,0.11944221,0.09101411,0.08440717,1.09514433e-01,3.00113963e-01,1.79008341e-01,7.31705062e-02
42,0.11778513,0.12223814,0.08948108,0.08402928,0.11917867,0.09106272,0.08434310,1.10200433e-01,2.89936092e-01,1.71784511e-01,7.19784543e-02
43,0.11725357,0.12230337,0.08927822,0.08404314,0.11861782,0.09105119,0.08429008,1.11473406e-01,2.84437770e-01,1.69915532e-01,7.08693435e-02
44,0.11713798,0.12231733,0.08927452,0.08402638,0.11843692,0.09118024,0.08424569,1.10730138e-01,2.72738059e-01,1.65162401e-01,7.02127310e-02
45,0.11631936,0.12221952,0.08901359,0.08402982,0.11758224,0.09123320,0.08420429,1.12293118e-01,2.67857091e-01,1.61343519e-01,6.88731853e-02
46,0.11656366,0.12191807,0.08910878,0.08394919,0.11778072,0.09119941,0.08416530,1.12234099e-01,2.60880075e-01,1.57611811e-01,6.72135953e-02
47,0.11625079,0.12189618,0.08896420,0.08392476,0.11741723,0.09130504,0.08412490,1.11497223e-01,2.50574192e-01,1.54609816e-01,6.58708748e-02
48,0.11613487,0.12187367,0.08900313,0.08396154,0.11728712,0.09123503,0.08409603,1.13215982e-01,2.48865961e-01,1.52071280e-01,6.45483793e-02
49,0.11587599,0.12175938,0.08881751,0.08393492,0.11697575,0.09129420,0.08406837,1.12159066e-01,2.43238869e-01,1.48933161e-01,6.35370697e-02
50,0.11555921,0.12159220,0.08879009,0.08393406,0.11664892,0.09121236,0.08404346,1.14321297e-01,2.37876206e-01,1.46471262e-01,6.17711396e-02
51,0.11530904,0.12145056,0.08865753,0.08389104,0.11636409,0.09140621,0.08401781,1.14479303e-01,2.32818141e-01,1.43896286e-01,6.11685264e-02
52,0.11529661,0.12140720,0.08863869,0.08389959,0.11633302,0.09129884,0.08399698,1.14942761e-01,2.25299232e-01,1.42419602e-01,5.93694303e-02
53,0.11534488,0.12146232,0.08866150,0.08389889,0.11634823,0.09121998,0.08397756,1.14972471e-01,2.22220353e-01,1.39986990e-01,5.79737687e-02
54,0.11516994,0.12117849,0.08862740,0.08386617,0.11615471,0.09117335,0.08395772,1.14716731e-01,2.20558561e-01,1.37651518e-01,5.69289762e-02
55,0.11491816,0.12129548,0.08857842,0.08387509,0.11588880,0.09126339,0.08393976,1.15698184e-01,2.15771770e-01,1.36781887e-01,5.56974059e-02
56,0.11484626,0.12107046,0.08849274,0.08377831,0.11579135,0.09105613,0.08391810,1.15515333e-01,2.11157984e-01,1.33998659e-01,5.54284186e-02
57,0.11448622,0.12084918,0.08839047,0.08372223,0.11541009,0.09107259,0.08389331,1.16178612e-01,2.07951170e-01,1.32145631e-01,5.45047343e-02
