epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.15351308,0.14350742,0.09907247,0.09053750,0.15376404,8.87826700e-02,6.31891757e-04,1.95495869e-04,9.16083812e-02
2,0.14166937,0.14069264,0.09592818,0.09018746,0.14198931,1.03946438e-01,6.31654930e-04,1.95460632e-04,1.06915283e-01
3,0.13846636,0.13960427,0.09498483,0.09027580,0.13880181,1.09630560e-01,6.31690424e-04,1.95386162e-04,1.08733012e-01
4,0.13622548,0.13834465,0.09429116,0.08966215,0.13656600,1.13304168e-01,6.31582446e-04,1.95170167e-04,1.08915241e-01
5,0.13475118,0.13701037,0.09382888,0.08977324,0.13509399,1.16110255e-01,6.31580729e-04,1.95309080e-04,1.08739064e-01
6,0.13329871,0.13518529,0.09340135,0.08924883,0.13364329,1.18263413e-01,6.31747477e-04,1.95310220e-04,1.08687908e-01
7,0.13230465,0.13499950,0.09307975,0.08913114,0.13265099,1.20293701e-01,6.31873276e-04,1.95689809e-04,1.08744198e-01
8,0.13135220,0.13474821,0.09277104,0.08921237,0.13170068,1.21549178e-01,6.31538749e-04,1.95658650e-04,1.08755351e-01
9,0.13065569,0.13456335,0.09255586,0.08926509,0.13100572,1.22626890e-01,6.31851778e-04,1.95053612e-04,1.09118111e-01
10,0.13010390,0.13441264,0.09236680,0.08924095,0.13045461,1.23360014e-01,6.31399832e-04,1.95305854e-04,1.09245887e-01
11,0.12970625,0.13366908,0.09223310,0.08895031,0.13005856,1.24057970e-01,6.31298419e-04,1.95201976e-04,1.09010821e-01
12,0.12933269,0.13335057,0.09212221,0.08890628,0.12968647,1.24563450e-01,6.31541795e-04,1.95284891e-04,1.09348518e-01
13,0.12927570,0.13369568,0.09207659,0.08905375,0.12962794,1.24496051e-01,6.31603805e-04,1.95370930e-04,1.09218675e-01
14,0.12902601,0.13344718,0.09200619,0.08896863,0.12938067,1.25331323e-01,6.31120597e-04,1.95385330e-04,1.09350315e-01
15,0.12902144,0.13338619,0.09201359,0.08892751,0.12937539,1.24957509e-01,6.31459390e-04,1.95658735e-04,1.09405982e-01
16,0.12861696,0.13353867,0.09188047,0.08898763,0.12897304,1.25786633e-01,6.31205832e-04,1.95493224e-04,1.09871879e-01
17,0.12766264,0.13258997,0.09152180,0.08875809,0.12802153,1.27215266e-01,6.31493563e-04,1.95466290e-04,1.10191197e-01
18,0.12657187,0.13295460,0.09114488,0.08865153,0.12693495,1.28821626e-01,6.31608837e-04,1.94758760e-04,1.10697014e-01
19,0.12570347,0.13180375,0.09080467,0.08829857,0.12606996,1.30083750e-01,6.31563444e-04,1.95236206e-04,1.11328544e-01
